Code,Libellé,Coups et blessures volontaires (en nombre) 2021,Taux de pauvreté 2019,Cambriolages de logement (taux) 2021,Estimations de population 2022,Nombre de logements sociaux par département
75,Paris,12770,15,7,2139907,231469
77,Seine-et-Marne,6482,"11,7","6,6",1443796,104606
78,Yvelines,5903,"9,9","6,2",1463709,122058
91,Essonne,6067,"13,3","6,8",1315404,51908
92,Hauts-de-Seine,7156,"11,9","5,4",1643080,201344
93,Seine-Saint-Denis,11770,"27,9","8,8",1678367,97417
94,Val-de-Marne,7028,"16,6","7,5",1434351,175967
95,Val-d'Oise,6026,17,"6,6",1276534,122381
