"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"12975555","78335",1,"78335_1","78335_0703_00001","1 Allee de la Pointe Amand 78520 Limay","housenumber",0.96,1.735639,48.993139,"BANG",12,1
"12975556","78335",1,"78335_1","78335_0340_00001","1 Impasse de la Faiencerie 78520 Limay","housenumber",0.96,1.73436,48.994771,"BANG",12,1
"12975557","78335",1,"78335_1","78335_0430_00001","1 Rue de Guitrancourt 78520 Limay","housenumber",0.97,1.737199,48.993363,"BANG",12,1
"12975558","78335",1,"78335_1","78335_0190_00001","1 Rue de la Chasse 78520 Limay","housenumber",0.96,1.739082,48.98978,"BANG",12,1
"12975559","78335",1,"78335_1","78335_0350_00001","1 Rue de la Faïencerie 78520 Limay","housenumber",0.96,1.733572,48.994568,"BANG",12,1
"12975560","78335",1,"78335_1","78335_0702_00001","1 Rue de la Pointe Amand 78520 Limay","housenumber",0.83,1.73673,48.993084,"BANG",12,1
"12975561","78335",1,"78335_1","78335_0625_00001","1 Rue du 11 Novembre 78520 Limay","housenumber",0.96,1.741632,48.990167,"BANG",12,3
"12975562","78335",1,"78335_1","78335_0210_00001","1 Rue du Cimetière 78520 Limay","housenumber",0.96,1.734796,48.993353,"BANG",12,7
"12975563","78335",1,"78335_1","78335_0410_00001","1 Rue Georges Clémenceau 78520 Limay","housenumber",0.97,1.734039,48.993079,"BANG",12,1
"12975564","78335",1,"78335_1","78335_0702_00001_ter","1ter Rue de la Pointe Amand 78520 Limay","housenumber",0.83,1.736823,48.993468,"BANG",12,1
"12975565","78335",1,"78335_1","78335_0371_00010","10 Allée de la Ferme 78520 Limay","housenumber",0.96,1.737967,48.991377,"BANG",12,1
"12975566","78335",1,"78335_1","78335_0020_00010","10 Boulevard Adolphe Langlois 78520 Limay","housenumber",0.97,1.736614,48.992413,"BANG",12,1
"12975567","78335",1,"78335_1","78335_0010_00010","10 Rue Abel Plisson 78520 Limay","housenumber",0.97,1.737583,48.992149,"BANG",12,1
"12975568","78335",1,"78335_1","78335_0430_00010","10 Rue de Guitrancourt 78520 Limay","housenumber",0.97,1.738827,48.9931,"BANG",12,1
"12975569","78335",1,"78335_1","78335_0350_00010","10 Rue de la Faïencerie 78520 Limay","housenumber",0.96,1.733732,48.994567,"BANG",12,1
"12975570","78335",1,"78335_1","78335_0730_00010","10 Rue des 4 Chemins 78520 Limay","housenumber",0.75,1.735818,48.994341,"BANG",12,1
"12975571","78335",1,"78335_1","78335_0210_00010","10 Rue du Cimetière 78520 Limay","housenumber",0.96,1.735753,48.993974,"BANG",12,1
"12975572","78335",1,"78335_1","78335_0410_00010","10 Rue Georges Clémenceau 78520 Limay","housenumber",0.97,1.733824,48.993513,"BANG",12,1
"12975573","78335",1,"78335_1","78335_0020_00100","100 Boulevard Adolphe Langlois 78520 Limay","housenumber",0.97,1.744708,48.991866,"BANG",12,1
"12975574","78335",1,"78335_1","78335_0020_00106","106 Boulevard Adolphe Langlois 78520 Limay","housenumber",0.97,1.745391,48.991814,"BANG",12,1
"12975575","78335",1,"78335_1","78335_0020_00106_bis","106bis Boulevard Adolphe Langlois 78520 Limay","housenumber",0.97,1.745073,48.991453,"BANG",12,1
"12975576","78335",1,"78335_1","78335_0020_00106_ter","106ter Boulevard Adolphe Langlois 78520 Limay","housenumber",0.97,1.745149,48.991405,"BANG",12,1
"12975577","78335",1,"78335_1","78335_0020_00108_bis","108bis Boulevard Adolphe Langlois 78520 Limay","housenumber",0.97,1.745551,48.991849,"BANG",12,1
"12975578","78335",1,"78335_1","78335_0350_00010_bis","10bis Rue de la Faïencerie 78520 Limay","housenumber",0.96,1.734066,48.994455,"BANG",12,1
