"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"15815",15815,95870,"BEZONS","AB114",150112.5,15.01125,"95",4
"15816",15816,95870,"BEZONS","AB117",294000,29.4,"95",2
"15817",15817,95870,"BEZONS","AB160",270000,27,"95",1
"15818",15818,95870,"BEZONS","AB28",315000,31.5,"95",1
"15819",15819,95870,"BEZONS","AB325",169312.5,16.93125,"95",8
"15820",15820,95870,"BEZONS","AB390",143500,14.35,"95",10
"15821",15821,95870,"BEZONS","AB44",253000,25.3,"95",3
"15822",15822,95870,"BEZONS","AB509",427000,42.7,"95",1
"15823",15823,95870,"BEZONS","AB572",495000,49.5,"95",1
"15824",15824,95870,"BEZONS","AB600",142500,14.25,"95",1
"15825",15825,95870,"BEZONS","AB785",145500,14.55,"95",1
"15826",15826,95870,"BEZONS","AB786",145500,14.55,"95",1
"15827",15827,95870,"BEZONS","AB797",355000,35.5,"95",2
"15828",15828,95870,"BEZONS","AB90",264000,26.4,"95",2
"15829",15829,95870,"BEZONS","AC1165",213000,21.3,"95",1
"15830",15830,95870,"BEZONS","AC1178",10500,1.05,"95",1
"15831",15831,95870,"BEZONS","AC1280",160000,16,"95",1
"15832",15832,95870,"BEZONS","AC156",313828.379310345,31.3828379310345,"95",29
"15833",15833,95870,"BEZONS","AC245",125000,12.5,"95",2
"15834",15834,95870,"BEZONS","AC452",161500,16.15,"95",6
"15835",15835,95870,"BEZONS","AC49",268410,26.841,"95",2
"15836",15836,95870,"BEZONS","AD1022",275000,27.5,"95",3
"15837",15837,95870,"BEZONS","AD1053",476900,47.69,"95",1
"15838",15838,95870,"BEZONS","AD1076",322429,32.2429,"95",1
"15839",15839,95870,"BEZONS","AD1077",322429,32.2429,"95",1
"15840",15840,95870,"BEZONS","AD1105",234500,23.45,"95",3
"15841",15841,95870,"BEZONS","AD1331",780000,78,"95",1
"15842",15842,95870,"BEZONS","AD1332",780000,78,"95",1
"15843",15843,95870,"BEZONS","AD1333",1200000,120,"95",2
"15844",15844,95870,"BEZONS","AD1334",1200000,120,"95",1
"15845",15845,95870,"BEZONS","AD1335",1120000,112,"95",2
"15846",15846,95870,"BEZONS","AD1336",1120000,112,"95",1
"15847",15847,95870,"BEZONS","AD1337",1120000,112,"95",1
"15848",15848,95870,"BEZONS","AD1344",5952000,595.2,"95",1
"15849",15849,95870,"BEZONS","AD1345",5952000,595.2,"95",1
"15850",15850,95870,"BEZONS","AD1346",5952000,595.2,"95",1
"15851",15851,95870,"BEZONS","AD1347",5952000,595.2,"95",1
"15852",15852,95870,"BEZONS","AD1348",5952000,595.2,"95",1
"15853",15853,95870,"BEZONS","AD1349",5952000,595.2,"95",1
"15854",15854,95870,"BEZONS","AD1350",5952000,595.2,"95",1
"15855",15855,95870,"BEZONS","AD1351",5952000,595.2,"95",1
"15856",15856,95870,"BEZONS","AD1352",5952000,595.2,"95",1
"15857",15857,95870,"BEZONS","AD1353",5952000,595.2,"95",1
"15858",15858,95870,"BEZONS","AD1354",5952000,595.2,"95",1
"15859",15859,95870,"BEZONS","AD1355",520000,52,"95",1
"15860",15860,95870,"BEZONS","AD1356",520000,52,"95",1
"15861",15861,95870,"BEZONS","AD157",526490,52.649,"95",2
"15862",15862,95870,"BEZONS","AD218",116800,11.68,"95",5
"15863",15863,95870,"BEZONS","AD226",180000,18,"95",3
"15864",15864,95870,"BEZONS","AD351",343000,34.3,"95",2
"15865",15865,95870,"BEZONS","AD419",275000,27.5,"95",2
"15866",15866,95870,"BEZONS","AD567",240000,24,"95",1
"15867",15867,95870,"BEZONS","AD597",176000,17.6,"95",3
"15868",15868,95870,"BEZONS","AD834",850000,85,"95",1
"15869",15869,95870,"BEZONS","AD835",1200000,120,"95",1
"15870",15870,95870,"BEZONS","AD836",850000,85,"95",1
"15871",15871,95870,"BEZONS","AD903",450000,45,"95",1
"15872",15872,95870,"BEZONS","AD948",2100000,210,"95",1
"15873",15873,95870,"BEZONS","AE1006",120928,12.0928,"95",3
"15874",15874,95870,"BEZONS","AE1256",225000,22.5,"95",1
"15875",15875,95870,"BEZONS","AE1291",186000,18.6,"95",1
"15876",15876,95870,"BEZONS","AE293",190000,19,"95",4
"15877",15877,95870,"BEZONS","AE342",220000,22,"95",2
"15878",15878,95870,"BEZONS","AE434",125000,12.5,"95",1
"15879",15879,95870,"BEZONS","AE440",284000,28.4,"95",2
"15880",15880,95870,"BEZONS","AE469",368000,36.8,"95",2
"15881",15881,95870,"BEZONS","AE494",237650,23.765,"95",10
"15882",15882,95870,"BEZONS","AE521",111583.333333333,11.1583333333333,"95",3
"15883",15883,95870,"BEZONS","AE534",4e+05,40,"95",1
"15884",15884,95870,"BEZONS","AE545",59000,5.9,"95",1
"15885",15885,95870,"BEZONS","AE602",153000,15.3,"95",2
"15886",15886,95870,"BEZONS","AE740",259000,25.9,"95",2
"15887",15887,95870,"BEZONS","AE748",310000,31,"95",2
"15888",15888,95870,"BEZONS","AE792",158000,15.8,"95",2
"15889",15889,95870,"BEZONS","AE869",290000,29,"95",1
"15890",15890,95870,"BEZONS","AH192",240000,24,"95",2
"15891",15891,95870,"BEZONS","AH235",550000,55,"95",1
"15892",15892,95870,"BEZONS","AH240",780000,78,"95",1
"15893",15893,95870,"BEZONS","AH310",4e+05,40,"95",4
"15894",15894,95870,"BEZONS","AH371",360000,36,"95",2
"15895",15895,95870,"BEZONS","AH476",175100,17.51,"95",10
"15896",15896,95870,"BEZONS","AH659",349000,34.9,"95",1
"15897",15897,95870,"BEZONS","AH661",349000,34.9,"95",1
"15898",15898,95870,"BEZONS","AH702",344000,34.4,"95",1
"15899",15899,95870,"BEZONS","AH901",16000,1.6,"95",1
"15900",15900,95870,"BEZONS","AH962",275699.698113208,27.5699698113208,"95",53
"15901",15901,95870,"BEZONS","AH974",211000,21.1,"95",1
"15902",15902,95870,"BEZONS","AH975",211000,21.1,"95",1
"15903",15903,95870,"BEZONS","AI142",615000,61.5,"95",6
"15904",15904,95870,"BEZONS","AI143",410530,41.053,"95",1
"15905",15905,95870,"BEZONS","AI187",185000,18.5,"95",1
"15906",15906,95870,"BEZONS","AI213",2e+05,20,"95",2
"15907",15907,95870,"BEZONS","AI217",5300000,530,"95",2
"15908",15908,95870,"BEZONS","AI219",5300000,530,"95",2
"15909",15909,95870,"BEZONS","AI220",5300000,530,"95",7
"15910",15910,95870,"BEZONS","AI221",5300000,530,"95",11
"15911",15911,95870,"BEZONS","AI222",515000,51.5,"95",2
"15912",15912,95870,"BEZONS","AI223",840000,84,"95",3
"15913",15913,95870,"BEZONS","AI228",138750,13.875,"95",2
"15914",15914,95870,"BEZONS","AI500",217467,21.7467,"95",1
"15915",15915,95870,"BEZONS","AI51",282000,28.2,"95",2
"15916",15916,95870,"BEZONS","AI54",22500,2.25,"95",1
"15917",15917,95870,"BEZONS","AI549",548958,54.8958,"95",1
"15918",15918,95870,"BEZONS","AI564",362400,36.24,"95",1
"15919",15919,95870,"BEZONS","AI567",185000,18.5,"95",2
"15920",15920,95870,"BEZONS","AI572",265000,26.5,"95",2
"15921",15921,95870,"BEZONS","AI724",685000,68.5,"95",3
