"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"3797",3797,33000,"BORDEAUX","DC13",237000,23.7,"33",1
"3798",3798,33000,"BORDEAUX","DC21",270000,27,"33",5
"3799",3799,33000,"BORDEAUX","DC69",235000,23.5,"33",1
"3800",3800,33000,"BORDEAUX","DC81",179000,17.9,"33",1
"3801",3801,33000,"BORDEAUX","DN13",64000,6.4,"33",1
"3802",3802,33000,"BORDEAUX","DO119",147000,14.7,"33",1
"3803",3803,33000,"BORDEAUX","DO15",184000,18.4,"33",1
"3804",3804,33000,"BORDEAUX","DO214",120000,12,"33",2
"3805",3805,33000,"BORDEAUX","DO23",212000,21.2,"33",1
"3806",3806,33000,"BORDEAUX","DO233",280000,28,"33",2
"3807",3807,33000,"BORDEAUX","DO245",151500,15.15,"33",1
"3808",3808,33000,"BORDEAUX","DO255",195500,19.55,"33",2
"3809",3809,33000,"BORDEAUX","DO28",115000,11.5,"33",1
"3810",3810,33000,"BORDEAUX","DO281",143800,14.38,"33",1
"3811",3811,33000,"BORDEAUX","DO293",236000,23.6,"33",2
"3812",3812,33000,"BORDEAUX","DO56",415000,41.5,"33",2
"3813",3813,33000,"BORDEAUX","DO61",129000,12.9,"33",2
"3814",3814,33000,"BORDEAUX","DO68",149280,14.928,"33",5
"3815",3815,33000,"BORDEAUX","DO72",158000,15.8,"33",1
"3816",3816,33000,"BORDEAUX","DO85",367500,36.75,"33",1
"3817",3817,33000,"BORDEAUX","DP102",660000,66,"33",5
"3818",3818,33000,"BORDEAUX","DP126",1,1e-04,"33",2
"3819",3819,33000,"BORDEAUX","DP139",492800,49.28,"33",1
"3820",3820,33000,"BORDEAUX","DP153",175000,17.5,"33",2
"3821",3821,33000,"BORDEAUX","DP154",290650,29.065,"33",1
"3822",3822,33000,"BORDEAUX","DP159",121000,12.1,"33",1
"3823",3823,33000,"BORDEAUX","DP161",241000,24.1,"33",4
"3824",3824,33000,"BORDEAUX","DP164",22500,2.25,"33",1
"3825",3825,33000,"BORDEAUX","DP209",285442,28.5442,"33",1
"3826",3826,33000,"BORDEAUX","DP38",350000,35,"33",1
"3827",3827,33000,"BORDEAUX","DP42",177209,17.7209,"33",2
"3828",3828,33000,"BORDEAUX","DP95",34000,3.4,"33",1
"3829",3829,33000,"BORDEAUX","DR113",130000,13,"33",1
"3830",3830,33000,"BORDEAUX","DR117",159166.666666667,15.9166666666667,"33",3
"3831",3831,33000,"BORDEAUX","DR126",480000,48,"33",2
"3832",3832,33000,"BORDEAUX","DR168",210000,21,"33",2
"3833",3833,33000,"BORDEAUX","DR181",307850,30.785,"33",5
"3834",3834,33000,"BORDEAUX","DR209",139000,13.9,"33",1
"3835",3835,33000,"BORDEAUX","DR231",130000,13,"33",3
"3836",3836,33000,"BORDEAUX","DR235",120000,12,"33",2
"3837",3837,33000,"BORDEAUX","DR251",141250,14.125,"33",4
"3838",3838,33000,"BORDEAUX","DR26",167188.45,16.718845,"33",1
