"nom","ville","date ouverture","longitude","latitude","obsevation"
"camping clos normand","bourg achard","ouvre l 15/03","49.3533664 ","0.80744549 ","loin mer"
"la ferme du bord de mer","Gatteville le phare","toute l’année","49.683331 ","-1.28333 ","emplacement simple ?"
"CAMPING MUNICIPAL QUINTEFEUILLE","asnelles","toute l’année","49.33963 ","-0.58188","près de l aplage"
"les boucaniers ","tréport","toute l’année","50.057646","1.390868","95 euros"
"hameau des forges","76170 Saint-Antoine-la-Forêt ","toute l’année","49.537162 ","0.471441 ",
