"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"1012",1012,14000,"CAEN","HA10",148385.6,14.83856,"14",15
"1013",1013,14000,"CAEN","HA133",340000,34,"14",1
"1014",1014,14000,"CAEN","HA158",93750,9.375,"14",4
"1015",1015,14000,"CAEN","HA26",399000,39.9,"14",1
"1016",1016,14000,"CAEN","HA44",265000,26.5,"14",1
"1017",1017,14000,"CAEN","HA6",151328.888888889,15.1328888888889,"14",9
"1018",1018,14000,"CAEN","HA7",89400,8.94,"14",5
"1019",1019,14000,"CAEN","HA8",109500,10.95,"14",8
"1020",1020,14000,"CAEN","HB225",280000,28,"14",1
"1021",1021,14000,"CAEN","HB226",280000,28,"14",1
"1022",1022,14000,"CAEN","HB24",259000,25.9,"14",1
"1023",1023,14000,"CAEN","HB254",345000,34.5,"14",1
"1024",1024,14000,"CAEN","HB297",172800,17.28,"14",4
"1025",1025,14000,"CAEN","HB314",240000,24,"14",2
"1026",1026,14000,"CAEN","HB451",88300,8.83,"14",2
"1027",1027,14000,"CAEN","HB89",103028.571428571,10.3028571428571,"14",21
"1028",1028,14000,"CAEN","HC148",346000,34.6,"14",1
"1029",1029,14000,"CAEN","HC198",450000,45,"14",4
"1030",1030,14000,"CAEN","HC248",15000,1.5,"14",1
"1031",1031,14000,"CAEN","HC295",220000,22,"14",4
"1032",1032,14000,"CAEN","HC297",156895,15.6895,"14",8
"1033",1033,14000,"CAEN","HC303",232500,23.25,"14",6
"1034",1034,14000,"CAEN","HC339",97000,9.7,"14",1
"1035",1035,14000,"CAEN","HC346",69000,6.9,"14",1
"1036",1036,14000,"CAEN","HC380",550000,55,"14",1
"1037",1037,14000,"CAEN","HC5",45000,4.5,"14",1
"1038",1038,14000,"CAEN","HC73",185000,18.5,"14",1
"1039",1039,14000,"CAEN","HC78",270000,27,"14",3
"1040",1040,14000,"CAEN","HC79",82000,8.2,"14",2
"1041",1041,14000,"CAEN","HD117",99500,9.95,"14",2
"1042",1042,14000,"CAEN","HD120",64450,6.445,"14",1
"1043",1043,14000,"CAEN","HD23",15000,1.5,"14",4
"1044",1044,14000,"CAEN","HD27",90000,9,"14",2
"1045",1045,14000,"CAEN","HD55",409500,40.95,"14",2
"1046",1046,14000,"CAEN","HE107",260000,26,"14",1
"1047",1047,14000,"CAEN","HE113",129670,12.967,"14",6
"1048",1048,14000,"CAEN","HE151",123000,12.3,"14",2
"1049",1049,14000,"CAEN","HE203",260000,26,"14",1
"1050",1050,14000,"CAEN","HE36",259000,25.9,"14",1
"1051",1051,14000,"CAEN","HE55",330000,33,"14",2
"1052",1052,14000,"CAEN","HE74",80875,8.0875,"14",4
"1053",1053,14000,"CAEN","HE86",50000,5,"14",1
"1054",1054,14000,"CAEN","HE88",435542.857142857,43.5542857142857,"14",14
"1055",1055,14000,"CAEN","HE9",1e+05,10,"14",4
"1056",1056,14000,"CAEN","HE91",68500,6.85,"14",2
"1057",1057,14000,"CAEN","HE92",70000,7,"14",2
"1058",1058,14000,"CAEN","HI33",71400,7.14,"14",2
"1059",1059,14000,"CAEN","HK1",154678.571428571,15.4678571428571,"14",14
"1060",1060,14000,"CAEN","HK5",111650,11.165,"14",10
"1061",1061,14000,"CAEN","HK67",166000,16.6,"14",2
"1062",1062,14000,"CAEN","HL131",161500,16.15,"14",3
"1063",1063,14000,"CAEN","HL218",13000,1.3,"14",1
"1064",1064,14000,"CAEN","HL233",155000,15.5,"14",4
"1065",1065,14000,"CAEN","HL241",120000,12,"14",2
"1066",1066,14000,"CAEN","HL266",280000,28,"14",1
"1067",1067,14000,"CAEN","HL295",112038.5,11.20385,"14",1
"1068",1068,14000,"CAEN","HL324",78000,7.8,"14",10
"1069",1069,14000,"CAEN","HL59",278366,27.8366,"14",1
"1070",1070,14000,"CAEN","HL74",252000,25.2,"14",1
"1071",1071,14000,"CAEN","HN254",322000,32.2,"14",1
"1072",1072,14000,"CAEN","HN326",326000,32.6,"14",1
"1073",1073,14000,"CAEN","HO16",595000,59.5,"14",2
"1074",1074,14000,"CAEN","HO31",5e+05,50,"14",1
"1075",1075,14000,"CAEN","HO73",7770000,777,"14",8
"1076",1076,14000,"CAEN","HO79",86196.42,8.619642,"14",1
"1077",1077,14000,"CAEN","HO8",5e+05,50,"14",1
"1078",1078,14000,"CAEN","HO9",690000,69,"14",1
"1079",1079,14000,"CAEN","HS223",85000,8.5,"14",2
"1080",1080,14000,"CAEN","HS41",50000,5,"14",1
"1081",1081,14000,"CAEN","HT116",250000,25,"14",1
"1082",1082,14000,"CAEN","HT152",105000,10.5,"14",1
"1083",1083,14000,"CAEN","HT158",262500,26.25,"14",1
"1084",1084,14000,"CAEN","HT293",177000,17.7,"14",9
"1085",1085,14000,"CAEN","HV30",230000,23,"14",1
"1086",1086,14000,"CAEN","HV46",250000,25,"14",1
"1087",1087,14000,"CAEN","HV67",230000,23,"14",1
"1088",1088,14000,"CAEN","HW104",287500,28.75,"14",4
"1089",1089,14000,"CAEN","HW106",166000,16.6,"14",3
"1090",1090,14000,"CAEN","HW19",89050,8.905,"14",6
"1091",1091,14000,"CAEN","HW39",261650,26.165,"14",4
"1092",1092,14000,"CAEN","HW43",69000,6.9,"14",2
"1093",1093,14000,"CAEN","HW46",84916.6666666667,8.49166666666667,"14",6
"1094",1094,14000,"CAEN","HW51",80500,8.05,"14",1
"1095",1095,14000,"CAEN","HW52",68000,6.8,"14",2
"1096",1096,14000,"CAEN","HW57",65000,6.5,"14",3
"1097",1097,14000,"CAEN","HW65",72000,7.2,"14",2
"1098",1098,14000,"CAEN","HW66",75500,7.55,"14",1
