"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"7327",7327,60440,"BOISSY FRESNOY","A221",3699,0.3699,"60",1
"7328",7328,60440,"BOISSY FRESNOY","A230",1477.35,0.147735,"60",1
"7329",7329,60440,"BOISSY FRESNOY","A271",1477.35,0.147735,"60",1
"7330",7330,60440,"BOISSY FRESNOY","A635",1477.35,0.147735,"60",1
"7331",7331,60440,"BOISSY FRESNOY","A683",1477.35,0.147735,"60",1
"7332",7332,60440,"BOISSY FRESNOY","AB349",275000,27.5,"60",1
"7333",7333,60440,"BOISSY FRESNOY","AB366",367000,36.7,"60",4
"7334",7334,60440,"BOISSY FRESNOY","AB474",260000,26,"60",2
"7335",7335,60440,"BOISSY FRESNOY","AB495",367000,36.7,"60",1
"7336",7336,60440,"BOISSY FRESNOY","AB497",367000,36.7,"60",1
"7337",7337,60440,"BOISSY FRESNOY","AC103",35561,3.5561,"60",1
"7338",7338,60440,"BOISSY FRESNOY","AC104",35561,3.5561,"60",1
"7339",7339,60440,"BOISSY FRESNOY","AC141",35561,3.5561,"60",1
"7340",7340,60440,"BOISSY FRESNOY","AC144",35561,3.5561,"60",1
"7341",7341,60440,"BOISSY FRESNOY","AC148",35561,3.5561,"60",1
"7342",7342,60440,"BOISSY FRESNOY","AC150",35561,3.5561,"60",1
"7343",7343,60440,"BOISSY FRESNOY","AC162",35561,3.5561,"60",1
"7344",7344,60440,"BOISSY FRESNOY","AC173",35561,3.5561,"60",1
"7345",7345,60440,"BOISSY FRESNOY","AC174",35561,3.5561,"60",1
"7346",7346,60440,"BOISSY FRESNOY","AC175",35561,3.5561,"60",1
"7347",7347,60440,"BOISSY FRESNOY","AC222",35561,3.5561,"60",1
"7348",7348,60440,"BOISSY FRESNOY","AC224",35561,3.5561,"60",1
"7349",7349,60440,"BOISSY FRESNOY","AC317",227000,22.7,"60",2
"7350",7350,60440,"BOISSY FRESNOY","AC319",227000,22.7,"60",1
"7351",7351,60440,"BOISSY FRESNOY","AC348",380000,38,"60",1
"7352",7352,60440,"BOISSY FRESNOY","ZA54",5078.5,0.50785,"60",1
"7353",7353,60440,"BOISSY FRESNOY","ZA55",5078.5,0.50785,"60",1
"7354",7354,60440,"BOISSY FRESNOY","ZB206",144500,14.45,"60",2
"7355",7355,60440,"BOISSY FRESNOY","ZD15",35561,3.5561,"60",1
"7356",7356,60440,"BOISSY FRESNOY","ZD16",35561,3.5561,"60",1
"7357",7357,60440,"BOISSY FRESNOY","ZD17",35561,3.5561,"60",1
"7358",7358,60440,"BOISSY FRESNOY","ZL8",18921,1.8921,"60",1
"7359",7359,60440,"BOISSY FRESNOY","ZN23",275000,27.5,"60",3
"7360",7360,60440,"BOISSY FRESNOY","ZO30",18921,1.8921,"60",1
"7361",7361,60440,"BOISSY FRESNOY","ZO67",3699,0.3699,"60",1
"7362",7362,60440,"BOISSY FRESNOY","ZS11",2412,0.2412,"60",1
"7363",7363,60440,"BREGY","D1129",263000,26.3,"60",1
"7364",7364,60440,"BREGY","D403",169000,16.9,"60",4
"7365",7365,60440,"BREGY","D456",90000,9,"60",1
"7366",7366,60440,"BREGY","D583",90000,9,"60",1
"7367",7367,60440,"BREGY","D585",90000,9,"60",1
"7368",7368,60440,"BREGY","D688",275000,27.5,"60",2
"7369",7369,60440,"BREGY","D875",90000,9,"60",1
"7370",7370,60440,"BREGY","D963",90000,9,"60",1
"7371",7371,60440,"BREGY","D965",90000,9,"60",1
"7372",7372,60440,"BREGY","D966",90000,9,"60",1
"7373",7373,60440,"BREGY","ZC34",3146,0.3146,"60",1
"7374",7374,60440,"CHEVREVILLE","AC120",263000,26.3,"60",2
"7375",7375,60440,"CHEVREVILLE","AC236",263000,26.3,"60",1
"7376",7376,60440,"CHEVREVILLE","ZI52",160680,16.068,"60",1
"7377",7377,60440,"CHEVREVILLE","ZI55",160680,16.068,"60",1
"7378",7378,60440,"CHEVREVILLE","ZI58",160680,16.068,"60",1
"7379",7379,60440,"NANTEUIL LE HAUDOUIN","AD191",4128813,412.8813,"60",63
"7380",7380,60440,"NANTEUIL LE HAUDOUIN","AD194",190000,19,"60",1
"7381",7381,60440,"NANTEUIL LE HAUDOUIN","AD211",190000,19,"60",1
"7382",7382,60440,"NANTEUIL LE HAUDOUIN","AH12",192000,19.2,"60",1
"7383",7383,60440,"NANTEUIL LE HAUDOUIN","AI116",151150,15.115,"60",6
"7384",7384,60440,"NANTEUIL LE HAUDOUIN","AI212",157500,15.75,"60",1
"7385",7385,60440,"NANTEUIL LE HAUDOUIN","AI213",157500,15.75,"60",1
"7386",7386,60440,"NANTEUIL LE HAUDOUIN","AI214",157500,15.75,"60",1
"7387",7387,60440,"NANTEUIL LE HAUDOUIN","AI324",165000,16.5,"60",1
"7388",7388,60440,"NANTEUIL LE HAUDOUIN","AI327",165000,16.5,"60",2
"7389",7389,60440,"NANTEUIL LE HAUDOUIN","AI440",530000,53,"60",1
"7390",7390,60440,"NANTEUIL LE HAUDOUIN","AI465",530000,53,"60",1
"7391",7391,60440,"NANTEUIL LE HAUDOUIN","AI469",530000,53,"60",2
"7392",7392,60440,"NANTEUIL LE HAUDOUIN","AI522",530000,53,"60",1
"7393",7393,60440,"NANTEUIL LE HAUDOUIN","AI524",530000,53,"60",1
"7394",7394,60440,"NANTEUIL LE HAUDOUIN","AI529",530000,53,"60",1
"7395",7395,60440,"NANTEUIL LE HAUDOUIN","AI530",530000,53,"60",1
"7396",7396,60440,"NANTEUIL LE HAUDOUIN","AI531",530000,53,"60",1
"7397",7397,60440,"NANTEUIL LE HAUDOUIN","AI559",95000,9.5,"60",1
"7398",7398,60440,"NANTEUIL LE HAUDOUIN","AI579",40000,4,"60",1
"7399",7399,60440,"NANTEUIL LE HAUDOUIN","AI84",2e+05,20,"60",2
"7400",7400,60440,"NANTEUIL LE HAUDOUIN","AK176",223000,22.3,"60",1
"7401",7401,60440,"NANTEUIL LE HAUDOUIN","AK177",223000,22.3,"60",3
"7402",7402,60440,"NANTEUIL LE HAUDOUIN","AK503",97000,9.7,"60",3
"7403",7403,60440,"NANTEUIL LE HAUDOUIN","XA62",228000,22.8,"60",1
"7404",7404,60440,"NANTEUIL LE HAUDOUIN","XA65",228000,22.8,"60",1
"7405",7405,60440,"NANTEUIL LE HAUDOUIN","ZD28",553200,55.32,"60",2
"7406",7406,60440,"NANTEUIL LE HAUDOUIN","ZD30",553200,55.32,"60",2
"7407",7407,60440,"NANTEUIL LE HAUDOUIN","ZD31",553200,55.32,"60",2
"7408",7408,60440,"NANTEUIL LE HAUDOUIN","ZD32",553200,55.32,"60",2
"7409",7409,60440,"NANTEUIL LE HAUDOUIN","ZD33",553200,55.32,"60",2
"7410",7410,60440,"NANTEUIL LE HAUDOUIN","ZD43",553200,55.32,"60",2
"7411",7411,60440,"NANTEUIL LE HAUDOUIN","ZD44",553200,55.32,"60",2
"7412",7412,60440,"NANTEUIL LE HAUDOUIN","ZI116",165000,16.5,"60",1
"7413",7413,60440,"NANTEUIL LE HAUDOUIN","ZI240",153000,15.3,"60",3
"7414",7414,60440,"NANTEUIL LE HAUDOUIN","ZM331",178000,17.8,"60",3
"7415",7415,60440,"NANTEUIL LE HAUDOUIN","ZM381",315000,31.5,"60",1
"7416",7416,60440,"NANTEUIL LE HAUDOUIN","ZS157",835000,83.5,"60",1
