"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"6022",6022,51100,"REIMS","AC122",378000,37.8,"51",1
"6023",6023,51100,"REIMS","AC241",3e+05,30,"51",1
"6024",6024,51100,"REIMS","AC251",284400,28.44,"51",1
"6025",6025,51100,"REIMS","AC282",1e+06,100,"51",1
"6026",6026,51100,"REIMS","AC283",1e+06,100,"51",1
"6027",6027,51100,"REIMS","AD10",126050,12.605,"51",3
"6028",6028,51100,"REIMS","AD1096",105000,10.5,"51",2
"6029",6029,51100,"REIMS","AD262",150000,15,"51",1
"6030",6030,51100,"REIMS","AD594",15000,1.5,"51",1
"6031",6031,51100,"REIMS","AD614",15000,1.5,"51",1
"6032",6032,51100,"REIMS","AD615",15000,1.5,"51",1
"6033",6033,51100,"REIMS","AD616",15000,1.5,"51",1
"6034",6034,51100,"REIMS","AD618",15000,1.5,"51",1
"6035",6035,51100,"REIMS","AD622",15000,1.5,"51",1
"6036",6036,51100,"REIMS","AD66",213000,21.3,"51",1
"6037",6037,51100,"REIMS","AD666",5000,0.5,"51",1
"6038",6038,51100,"REIMS","AD830",70500,7.05,"51",2
"6039",6039,51100,"REIMS","AE117",84800,8.48,"51",10
"6040",6040,51100,"REIMS","AE248",314200,31.42,"51",1
"6041",6041,51100,"REIMS","AE262",128000,12.8,"51",3
"6042",6042,51100,"REIMS","AE283",90000,9,"51",3
"6043",6043,51100,"REIMS","AE285",53000,5.3,"51",8
"6044",6044,51100,"REIMS","AE292",83733.3333333333,8.37333333333333,"51",9
"6045",6045,51100,"REIMS","AE296",112000,11.2,"51",4
"6046",6046,51100,"REIMS","AE347",116768.571428571,11.6768571428571,"51",7
"6047",6047,51100,"REIMS","AE43",314200,31.42,"51",1
"6048",6048,51100,"REIMS","AE54",90000,9,"51",1
"6049",6049,51100,"REIMS","AE93",140500,14.05,"51",2
"6050",6050,51100,"REIMS","AH229",207000,20.7,"51",1
"6051",6051,51100,"REIMS","AH269",40000,4,"51",1
"6052",6052,51100,"REIMS","AH412",104600,10.46,"51",3
"6053",6053,51100,"REIMS","AI179",175000,17.5,"51",1
"6054",6054,51100,"REIMS","AI696",121600,12.16,"51",2
"6055",6055,51100,"REIMS","AI82",537500,53.75,"51",2
"6056",6056,51100,"REIMS","AI88",313800,31.38,"51",1
"6057",6057,51100,"REIMS","AL183",130000,13,"51",1
"6058",6058,51100,"REIMS","AL328",58000,5.8,"51",1
"6059",6059,51100,"REIMS","AL386",148000,14.8,"51",1
"6060",6060,51100,"REIMS","AL402",97500,9.75,"51",2
"6061",6061,51100,"REIMS","AL419",98825,9.8825,"51",4
"6062",6062,51100,"REIMS","AL74",239950,23.995,"51",2
"6063",6063,51100,"REIMS","AM271",220000,22,"51",1
"6064",6064,51100,"REIMS","AM280",79000,7.9,"51",1
"6065",6065,51100,"REIMS","AM321",106500,10.65,"51",1
"6066",6066,51100,"REIMS","AM337",94000,9.4,"51",3
"6067",6067,51100,"REIMS","AM441",150000,15,"51",1
"6068",6068,51100,"REIMS","AM553",205000,20.5,"51",2
"6069",6069,51100,"REIMS","AM730",13000,1.3,"51",1
"6070",6070,51100,"REIMS","AM760",130500,13.05,"51",6
"6071",6071,51100,"REIMS","AM823",202000,20.2,"51",1
"6072",6072,51100,"REIMS","AM837",104500,10.45,"51",6
"6073",6073,51100,"REIMS","AM89",1e+05,10,"51",2
"6074",6074,51100,"REIMS","AM890",174500,17.45,"51",2
