"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"12875",12875,91000,"EVRY-COURCOURONNES","AB175",105000,10.5,"91",6
"12876",12876,91000,"EVRY-COURCOURONNES","AB176",134000,13.4,"91",1
"12877",12877,91000,"EVRY-COURCOURONNES","AB177",160000,16,"91",2
"12878",12878,91000,"EVRY-COURCOURONNES","AB223",235000,23.5,"91",1
"12879",12879,91000,"EVRY-COURCOURONNES","AB241",207000,20.7,"91",3
"12880",12880,91000,"EVRY-COURCOURONNES","AB53",163278.727272727,16.3278727272727,"91",11
"12881",12881,91000,"EVRY-COURCOURONNES","AB73",139150,13.915,"91",3
"12882",12882,91000,"EVRY-COURCOURONNES","AC147",276000,27.6,"91",1
"12883",12883,91000,"EVRY-COURCOURONNES","AC189",252000,25.2,"91",2
"12884",12884,91000,"EVRY-COURCOURONNES","AC53",109986.363636364,10.9986363636364,"91",22
"12885",12885,91000,"EVRY-COURCOURONNES","AC56",142380,14.238,"91",20
"12886",12886,91000,"EVRY-COURCOURONNES","AD16",146375,14.6375,"91",16
"12887",12887,91000,"EVRY-COURCOURONNES","AD18",129410,12.941,"91",10
"12888",12888,91000,"EVRY-COURCOURONNES","AD45",11416.6666666667,1.14166666666667,"91",3
"12889",12889,91000,"EVRY-COURCOURONNES","AD73",85000,8.5,"91",3
"12890",12890,91000,"EVRY-COURCOURONNES","AI2",91000,9.1,"91",4
"12891",12891,91000,"EVRY-COURCOURONNES","AI215",1,1e-04,"91",1
"12892",12892,91000,"EVRY-COURCOURONNES","AI220",1,1e-04,"91",1
"12893",12893,91000,"EVRY-COURCOURONNES","AI4",136063.636363636,13.6063636363636,"91",11
"12894",12894,91000,"EVRY-COURCOURONNES","AI8",113000,11.3,"91",2
"12895",12895,91000,"EVRY-COURCOURONNES","AK13",134300,13.43,"91",4
"12896",12896,91000,"EVRY-COURCOURONNES","AK16",97000,9.7,"91",3
"12897",12897,91000,"EVRY-COURCOURONNES","AK18",157500,15.75,"91",4
"12898",12898,91000,"EVRY-COURCOURONNES","AK19",209000,20.9,"91",3
"12899",12899,91000,"EVRY-COURCOURONNES","AK193",175000,17.5,"91",3
"12900",12900,91000,"EVRY-COURCOURONNES","AK20",226000,22.6,"91",2
"12901",12901,91000,"EVRY-COURCOURONNES","AK201",159000,15.9,"91",2
"12902",12902,91000,"EVRY-COURCOURONNES","AK33",151000,15.1,"91",3
"12903",12903,91000,"EVRY-COURCOURONNES","AK37",111750,11.175,"91",8
"12904",12904,91000,"EVRY-COURCOURONNES","AK55",210000,21,"91",1
"12905",12905,91000,"EVRY-COURCOURONNES","AK7",134350,13.435,"91",16
"12906",12906,91000,"EVRY-COURCOURONNES","AK8",139900,13.99,"91",3
"12907",12907,91000,"EVRY-COURCOURONNES","AL105",6811,0.6811,"91",1
"12908",12908,91000,"EVRY-COURCOURONNES","AL28",248000,24.8,"91",1
"12909",12909,91000,"EVRY-COURCOURONNES","AN24",119350,11.935,"91",10
"12910",12910,91000,"EVRY-COURCOURONNES","AN40",9900000,990,"91",2
"12911",12911,91000,"EVRY-COURCOURONNES","AP205",126250,12.625,"91",8
"12912",12912,91000,"EVRY-COURCOURONNES","AP42",561800,56.18,"91",4
"12913",12913,91000,"EVRY-COURCOURONNES","AR10",1569010.2,156.90102,"91",1
"12914",12914,91000,"EVRY-COURCOURONNES","AS130",91285.7142857143,9.12857142857143,"91",7
"12915",12915,91000,"EVRY-COURCOURONNES","AS22",121433.333333333,12.1433333333333,"91",12
"12916",12916,91000,"EVRY-COURCOURONNES","AS25",167400,16.74,"91",5
"12917",12917,91000,"EVRY-COURCOURONNES","AS53",113000,11.3,"91",3
"12918",12918,91000,"EVRY-COURCOURONNES","AS61",87500,8.75,"91",1
"12919",12919,91000,"EVRY-COURCOURONNES","AT18",153400,15.34,"91",5
"12920",12920,91000,"EVRY-COURCOURONNES","AT21",142000,14.2,"91",6
"12921",12921,91000,"EVRY-COURCOURONNES","AT25",116000,11.6,"91",2
"12922",12922,91000,"EVRY-COURCOURONNES","AT43",209000,20.9,"91",2
"12923",12923,91000,"EVRY-COURCOURONNES","AT44",220500,22.05,"91",2
"12924",12924,91000,"EVRY-COURCOURONNES","AT89",110933.333333333,11.0933333333333,"91",6
"12925",12925,91000,"EVRY-COURCOURONNES","AV167",141250,14.125,"91",4
"12926",12926,91000,"EVRY-COURCOURONNES","AX222",135000,13.5,"91",4
"12927",12927,91000,"EVRY-COURCOURONNES","AX230",154305.666666667,15.4305666666667,"91",6
"12928",12928,91000,"EVRY-COURCOURONNES","AX233",67500,6.75,"91",1
"12929",12929,91000,"EVRY-COURCOURONNES","AX236",139800,13.98,"91",5
"12930",12930,91000,"EVRY-COURCOURONNES","AX249",214000,21.4,"91",2
"12931",12931,91000,"EVRY-COURCOURONNES","AX250",219000,21.9,"91",5
"12932",12932,91000,"EVRY-COURCOURONNES","AX8",111666.666666667,11.1666666666667,"91",3
"12933",12933,91000,"EVRY-COURCOURONNES","AX80",129000,12.9,"91",2
"12934",12934,91000,"EVRY-COURCOURONNES","AY10",269000,26.9,"91",1
"12935",12935,91000,"EVRY-COURCOURONNES","AY152",185000,18.5,"91",2
"12936",12936,91000,"EVRY-COURCOURONNES","AY17",123950,12.395,"91",4
"12937",12937,91000,"EVRY-COURCOURONNES","AY78",123045.34375,12.304534375,"91",32
