"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"01129","2024","COM","2022","316","5","321","2024-12-30"
"01130","2024","COM","2022","2393","39","2432","2024-12-30"
"01133","2024","COM","2022","384","5","389","2024-12-30"
"01134","2024","COM","2022","1844","43","1887","2024-12-30"
"01135","2024","COM","2022","2354","45","2399","2024-12-30"
"01136","2024","COM","2022","951","18","969","2024-12-30"
"01138","2024","COM","2022","3416","69","3485","2024-12-30"
"01139","2024","COM","2022","462","12","474","2024-12-30"
"01140","2024","COM","2022","805","18","823","2024-12-30"
"01141","2024","COM","2022","423","8","431","2024-12-30"
"01142","2024","COM","2022","4741","54","4795","2024-12-30"
"01143","2024","COM","2022","10300","220","10520","2024-12-30"
"01145","2024","COM","2022","1225","21","1246","2024-12-30"
"01146","2024","COM","2022","453","3","456","2024-12-30"
"01147","2024","COM","2022","540","6","546","2024-12-30"
"01148","2024","COM","2022","2013","40","2053","2024-12-30"
"01149","2024","COM","2022","1108","29","1137","2024-12-30"
"01150","2024","COM","2022","215","5","220","2024-12-30"
"01151","2024","COM","2022","1144","31","1175","2024-12-30"
"01152","2024","COM","2022","774","26","800","2024-12-30"
"01153","2024","COM","2022","2227","58","2285","2024-12-30"
"01155","2024","COM","2022","143","5","148","2024-12-30"
"01156","2024","COM","2022","905","10","915","2024-12-30"
"01157","2024","COM","2022","2524","59","2583","2024-12-30"
"01158","2024","COM","2022","1065","19","1084","2024-12-30"
"01159","2024","COM","2022","3388","69","3457","2024-12-30"
"01160","2024","COM","2022","11530","136","11666","2024-12-30"
"01162","2024","COM","2022","64","3","67","2024-12-30"
"01163","2024","COM","2022","2024","33","2057","2024-12-30"
"01165","2024","COM","2022","1593","35","1628","2024-12-30"
"01166","2024","COM","2022","2547","38","2585","2024-12-30"
"01167","2024","COM","2022","685","12","697","2024-12-30"
"01169","2024","COM","2022","675","21","696","2024-12-30"
"01170","2024","COM","2022","1048","37","1085","2024-12-30"
"01171","2024","COM","2022","843","21","864","2024-12-30"
"01173","2024","COM","2022","13455","287","13742","2024-12-30"
"01174","2024","COM","2022","174","3","177","2024-12-30"
"01175","2024","COM","2022","782","23","805","2024-12-30"
"01177","2024","COM","2022","186","5","191","2024-12-30"
"01179","2024","COM","2022","1909","43","1952","2024-12-30"
"01180","2024","COM","2022","873","21","894","2024-12-30"
"01181","2024","COM","2022","1216","49","1265","2024-12-30"
"01183","2024","COM","2022","1503","29","1532","2024-12-30"
"01184","2024","COM","2022","754","28","782","2024-12-30"
"01185","2024","COM","2022","4790","158","4948","2024-12-30"
"01187","2024","COM","2022","603","18","621","2024-12-30"
"01188","2024","COM","2022","696","21","717","2024-12-30"
"01189","2024","COM","2022","1123","31","1154","2024-12-30"
"01190","2024","COM","2022","92","1","93","2024-12-30"
"01191","2024","COM","2022","159","6","165","2024-12-30"
"01192","2024","COM","2022","2262","55","2317","2024-12-30"
"01193","2024","COM","2022","223","6","229","2024-12-30"
"01194","2024","COM","2022","6315","94","6409","2024-12-30"
"01195","2024","COM","2022","1900","41","1941","2024-12-30"
"01196","2024","COM","2022","1276","22","1298","2024-12-30"
"01197","2024","COM","2022","384","8","392","2024-12-30"
"01198","2024","COM","2022","262","3","265","2024-12-30"
"01199","2024","COM","2022","2209","37","2246","2024-12-30"
"01200","2024","COM","2022","207","6","213","2024-12-30"
"01202","2024","COM","2022","7321","121","7442","2024-12-30"
"01203","2024","COM","2022","1292","24","1316","2024-12-30"
"01204","2024","COM","2022","740","19","759","2024-12-30"
"01206","2024","COM","2022","265","11","276","2024-12-30"
"01207","2024","COM","2022","337","5","342","2024-12-30"
"01208","2024","COM","2022","138","1","139","2024-12-30"
"01209","2024","COM","2022","887","18","905","2024-12-30"
