"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"12082",12082,77230,"DAMMARTIN-EN-GOELE","A1266",331400,33.14,"77",2
"12083",12083,77230,"DAMMARTIN-EN-GOELE","A1638",215000,21.5,"77",3
"12084",12084,77230,"DAMMARTIN-EN-GOELE","A1689",330000,33,"77",1
"12085",12085,77230,"DAMMARTIN-EN-GOELE","A1690",330000,33,"77",1
"12086",12086,77230,"DAMMARTIN-EN-GOELE","A2141",194000,19.4,"77",3
"12087",12087,77230,"DAMMARTIN-EN-GOELE","AB115",149800,14.98,"77",3
"12088",12088,77230,"DAMMARTIN-EN-GOELE","AB117",137850,13.785,"77",2
"12089",12089,77230,"DAMMARTIN-EN-GOELE","AB135",203000,20.3,"77",2
"12090",12090,77230,"DAMMARTIN-EN-GOELE","AB164",107500,10.75,"77",1
"12091",12091,77230,"DAMMARTIN-EN-GOELE","AB222",260000,26,"77",1
"12092",12092,77230,"DAMMARTIN-EN-GOELE","AB275",260000,26,"77",1
"12093",12093,77230,"DAMMARTIN-EN-GOELE","AB276",260000,26,"77",1
"12094",12094,77230,"DAMMARTIN-EN-GOELE","AB277",260000,26,"77",1
"12095",12095,77230,"DAMMARTIN-EN-GOELE","AB283",130000,13,"77",8
"12096",12096,77230,"DAMMARTIN-EN-GOELE","AC138",130000,13,"77",2
"12097",12097,77230,"DAMMARTIN-EN-GOELE","AC173",92000,9.2,"77",2
"12098",12098,77230,"DAMMARTIN-EN-GOELE","AC199",128000,12.8,"77",2
"12099",12099,77230,"DAMMARTIN-EN-GOELE","AC208",103333.333333333,10.3333333333333,"77",3
"12100",12100,77230,"DAMMARTIN-EN-GOELE","AC213",13300,1.33,"77",1
"12101",12101,77230,"DAMMARTIN-EN-GOELE","AD107",141666.666666667,14.1666666666667,"77",6
"12102",12102,77230,"DAMMARTIN-EN-GOELE","AD165",190000,19,"77",1
"12103",12103,77230,"DAMMARTIN-EN-GOELE","AD23",164000,16.4,"77",2
"12104",12104,77230,"DAMMARTIN-EN-GOELE","AD281",72000,7.2,"77",1
"12105",12105,77230,"DAMMARTIN-EN-GOELE","AD313",206000,20.6,"77",1
"12106",12106,77230,"DAMMARTIN-EN-GOELE","AD325",206000,20.6,"77",1
"12107",12107,77230,"DAMMARTIN-EN-GOELE","AD333",206000,20.6,"77",1
"12108",12108,77230,"DAMMARTIN-EN-GOELE","AD363",176290,17.629,"77",2
"12109",12109,77230,"DAMMARTIN-EN-GOELE","AD371",150000,15,"77",1
"12110",12110,77230,"DAMMARTIN-EN-GOELE","AD405",85000,8.5,"77",1
"12111",12111,77230,"DAMMARTIN-EN-GOELE","AD423",121000,12.1,"77",2
"12112",12112,77230,"DAMMARTIN-EN-GOELE","AD441",190000,19,"77",1
"12113",12113,77230,"DAMMARTIN-EN-GOELE","AD453",1,1e-04,"77",1
"12114",12114,77230,"DAMMARTIN-EN-GOELE","AD454",1,1e-04,"77",1
"12115",12115,77230,"DAMMARTIN-EN-GOELE","AD457",1,1e-04,"77",1
