LIBCOM,nb,zone,Code
Grasse,2903,reg93,06069
Grigny,3992,IDF_DEP_91,91286
Guyancourt,6141,IDF_DEP_78,78297
Hérouville-Saint-Clair,4638,reg28,14327
Issy-les-Moulineaux,7833,IDF_DEP_92,92040
Ivry-sur-Seine,11471,IDF_DEP_94,94041
Joinville-le-Pont,2187,IDF_DEP_94,94042
Joué-lès-Tours,4540,reg24,37122
L'Haÿ-les-Roses,3274,IDF_DEP_94,94038
La Chapelle-Saint-Luc,2750,reg44,10081
La Ciotat,4037,reg93,13028
La Courneuve,7763,IDF_DEP_93,93027
La Roche-sur-Yon,6531,reg52,85191
La Rochelle,12954,reg75,17300
Lanester,2798,reg53,56098
Laval,7106,reg52,53130
Le Blanc-Mesnil,7890,IDF_DEP_93,93007
Le Bouscat,2096,reg75,33069
Le Chambon-Feugerolles,2256,reg84,42044
Le Grand-Quevilly,8833,reg28,76322
Le Havre,30303,reg28,76351
Le Kremlin-Bicêtre,4499,IDF_DEP_94,94043
Le Mans,20260,reg52,72181
Le Mée-sur-Seine,3654,IDF_DEP_77,77285
Le Petit-Quevilly,4268,reg28,76498
Le Plessis-Robinson,4178,IDF_DEP_92,92060
Les Lilas,3188,IDF_DEP_93,93045
Les Mureaux,4781,IDF_DEP_78,78440
Levallois-Perret,5918,IDF_DEP_92,92044
Libourne,2167,reg75,33243
Limay,2351,IDF_DEP_78,78335
Limeil-Brévannes,3127,IDF_DEP_94,94044
Lisieux,4266,reg28,14366
Longjumeau,2589,IDF_DEP_91,91345
Lons-le-Saunier,2954,reg27,39300
Lorient,8911,reg53,56121
Lormont,5023,reg75,33249
Louviers,3351,reg28,27375
Lucé,4293,reg24,28218
Lyon 1er Arrondissement,2569,reg84,69381
Lyon 2e Arrondissement,2199,reg84,69382
Lyon 3e Arrondissement,8596,reg84,69383
Lyon 4e Arrondissement,2674,reg84,69384
Lyon 5e Arrondissement,2973,reg84,69385
Lyon 6e Arrondissement,2506,reg84,69386
Lyon 7e Arrondissement,7603,reg84,69387
Lyon 8e Arrondissement,14001,reg84,69388
Lyon 9e Arrondissement,8736,reg84,69389
Mâcon,6643,reg27,71270
Maisons-Alfort,6601,IDF_DEP_94,94046
Malakoff,5716,IDF_DEP_92,92046
Mantes-la-Jolie,7086,IDF_DEP_78,78361
Mantes-la-Ville,3210,IDF_DEP_78,78362
Maromme,2942,reg28,76410
Meaux,9213,IDF_DEP_77,77284
Melun,6869,IDF_DEP_77,77288
Mérignac,6736,reg75,33281
Mérignac,6736,reg75,17229
Mérignac,6736,reg75,16216
Meudon,5084,IDF_DEP_92,92048
Meyzieu,2498,reg84,69282
Mont-Saint-Aignan,4021,reg28,76451
Montargis,3295,reg24,45208
Montataire,2258,reg32,60414
Montceau-les-Mines,3963,reg27,71306
Montereau-Fault-Yonne,3693,IDF_DEP_77,77305
Montigny-le-Bretonneux,3624,IDF_DEP_78,78423
Montigny-lès-Cormeilles,2457,IDF_DEP_95,95424
Montluçon,4785,reg84,03185
Montrouge,5201,IDF_DEP_92,92049
Moulins,3357,reg84,03190
Muret,2349,reg76,31395
Nanterre,20880,IDF_DEP_92,92050
Nantes,36097,reg52,44109
Narbonne,6140,reg76,11262
Nemours,2095,IDF_DEP_77,77333
Nice,22341,reg93,06088
Niort,6109,reg75,79191
Nogent-sur-Oise,2900,reg32,60463
Noisiel,2811,IDF_DEP_77,77337
Noyon,2172,reg32,60471
Oissel,2017,reg28,76484
Orange,2678,reg93,84087
Orléans,15410,reg24,45234
Orly,5105,IDF_DEP_94,94054
Orvault,2182,reg52,44114
Oullins,2204,reg84,69149
Paris 10e Arrondissement,6846,IDF_DEP_75,75110
Paris 11e Arrondissement,10155,IDF_DEP_75,75111
Paris 12e Arrondissement,16800,IDF_DEP_75,75112
Paris 13e Arrondissement,33988,IDF_DEP_75,75113
Paris 14e Arrondissement,19047,IDF_DEP_75,75114
Paris 15e Arrondissement,22492,IDF_DEP_75,75115
Paris 16e Arrondissement,5366,IDF_DEP_75,75116
Paris 17e Arrondissement,14659,IDF_DEP_75,75117
Paris 18e Arrondissement,21421,IDF_DEP_75,75118
Paris 19e Arrondissement,34379,IDF_DEP_75,75119
Paris 20e Arrondissement,34451,IDF_DEP_75,75120
Paris 4e Arrondissement,2286,IDF_DEP_75,75104
Paris 5e Arrondissement,2786,IDF_DEP_75,75105
Paris 9e Arrondissement,2002,IDF_DEP_75,75109
Pau,8463,reg75,64445
Périgueux,3348,reg75,24322
Perpignan,2232,reg76,66136
Persan,2036,IDF_DEP_95,95487
Pessac,7012,reg75,33318
Plaisir,3145,IDF_DEP_78,78490
Poissy,5798,IDF_DEP_78,78498
Pont-Audemer,2034,reg28,27467
Pontault-Combault,2848,IDF_DEP_77,77373
Pontoise,4908,IDF_DEP_95,95500
Puteaux,6535,IDF_DEP_92,92062
Quimper,5603,reg53,29232
Raismes,2018,reg32,59491
Rambouillet,2266,IDF_DEP_78,78517
Reims,10820,reg44,51454
Rennes,28824,reg53,35238
Rezé,3885,reg52,44143
Rillieux-la-Pape,6261,reg84,69286
Rive-de-Gier,2046,reg84,42186
Roanne,4528,reg84,42187
Rochefort,2724,reg75,17299
Romans-sur-Isère,3493,reg84,26281
Romilly-sur-Seine,2196,reg44,10323
Roubaix,15268,reg32,59512
Rouen,15660,reg28,76540
Rueil-Malmaison,8040,IDF_DEP_92,92063
Saint-Brieuc,4772,reg53,22278
Saint-Chamond,5941,reg84,42207
Saint-Cloud,2121,IDF_DEP_92,92064
Saint-Cyr-l'École,2604,IDF_DEP_78,78545
Saint-Étienne,19631,reg84,42218
Saint-Étienne-du-Rouvray,5603,reg28,76575
Saint-Fons,3737,reg84,69199
Saint-Germain-en-Laye,3455,IDF_DEP_78,78551
Saint-Gratien,2478,IDF_DEP_95,95555
Saint-Herblain,5261,reg52,44162
Saint-Jean-de-Braye,2239,reg24,45284
Saint-Jean-de-la-Ruelle,2235,reg24,45285
Saint-Maur-des-Fossés,2821,IDF_DEP_94,94068
Saint-Médard-en-Jalles,2425,reg75,33449
Saint-Nazaire,9578,reg52,44184
Saint-Ouen-l'Aumône,3062,IDF_DEP_95,95572
Saint-Pierre-des-Corps,3256,reg24,37233
Saint-Priest,6110,reg84,07288
Saint-Quentin,2619,reg32,02691
Saintes,2487,reg75,17415
Sannois,2761,IDF_DEP_95,95582
Sarcelles,10641,IDF_DEP_95,95585
Sartrouville,5418,IDF_DEP_78,78586
Saumur,3382,reg52,49328
Savigny-le-Temple,3093,IDF_DEP_77,77445
Sedan,3700,reg44,08409
Sens,4524,reg27,89387
Sèvres,2378,IDF_DEP_92,92072
Sin-le-Noble,2294,reg32,59569
Soissons,5756,reg32,02722
Sotteville-lès-Rouen,4514,reg28,76681
Suresnes,7686,IDF_DEP_92,92073
Talence,4844,reg75,33522
Tergnier,2261,reg32,02738
Thiais,2407,IDF_DEP_94,94073
Thonon-les-Bains,3434,reg84,74281
Torcy,3346,IDF_DEP_77,77468
Toulouse,46684,reg76,31555
Tourcoing,12302,reg32,59599
Tours,19928,reg24,37261
Trappes,6845,IDF_DEP_78,78621
Trélazé,2320,reg52,49353
Troyes,11762,reg44,10387
Val-de-Reuil,3253,reg28,27701
Valenciennes,5805,reg32,59606
Valenton,3361,IDF_DEP_94,94074
Vannes,6274,reg53,56260
Vanves,3087,IDF_DEP_92,92075
Vaulx-en-Velin,9719,reg84,69256
Vendôme,2639,reg24,41269
Vénissieux,12394,reg84,69259
Vernon,3499,reg28,27681
Versailles,7292,IDF_DEP_78,78646
Vichy,2050,reg84,03310
Vierzon,2090,reg24,18279
Villefranche-sur-Saône,5598,reg84,69264
Villejuif,9435,IDF_DEP_94,94076
