"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"15406326","94073",1,"94073_1","94073_hiqmsr_00001","1 Place de la Place de l’Eglise 94320 Thiais","housenumber",0.72,2.389469,48.76437,"BANG",13,2
"15406327","94073",1,"94073_1","94073_4140_00001","1 Rue Georges Risler 94320 Thiais","housenumber",0.96,2.396108,48.760887,"BANG",13,1
"15406328","94073",1,"94073_1","94073_9725_00001","1 Villa Wagner 94320 Thiais","housenumber",0.96,2.39567,48.760713,"BANG",13,1
"15406329","94073",1,"94073_1","94073_1430_00010","10 Rue Chèvre d'Autreville 94320 Thiais","housenumber",0.96,2.390139,48.763974,"BANG",13,1
"15406330","94073",1,"94073_1","94073_4105_00010","10 Rue Gabriel Péri 94320 Thiais","housenumber",0.97,2.396397,48.759976,"BANG",13,1
"15406331","94073",1,"94073_1","94073_4140_00010","10 Rue Georges Risler 94320 Thiais","housenumber",0.96,2.396869,48.760958,"BANG",13,1
"15406332","94073",1,"94073_1","94073_7148_00010","10 Rue Paul Vaillant Couturier 94320 Thiais","housenumber",0.97,2.39463,48.759626,"BANG",13,1
"15406333","94073",1,"94073_1","94073_8152_00010","10 Rue Robert Laporte 94320 Thiais","housenumber",0.96,2.389916,48.764421,"BANG",13,1
"15406334","94073",1,"94073_1","94073_8135_00108","108 Avenue René Panhard 94320 Thiais","housenumber",0.97,2.392459,48.76476,"BANG",13,4
"15406335","94073",1,"94073_1","94073_4140","Rue Georges Risler 94320 Thiais","street",0.96,2.396489,48.761061,"BANN",13,1
"15406336","94073",1,"94073_1","94073_4105_00011","11 Rue Gabriel Péri 94320 Thiais","housenumber",0.97,2.396281,48.760038,"BANG",13,1
"15406337","94073",1,"94073_1","94073_9725_00011","11 Villa Wagner 94320 Thiais","housenumber",0.96,2.394917,48.76057,"BANG",13,1
"15406338","94073",1,"94073_1","94073_0020_00012","12 Rue Adrien Tessier 94320 Thiais","housenumber",0.96,2.392496,48.76376,"BANG",13,1
"15406339","94073",1,"94073_1","94073_1430_00012","12 Rue Chèvre d'Autreville 94320 Thiais","housenumber",0.96,2.389966,48.763974,"BANG",13,1
"15406340","94073",1,"94073_1","94073_4105_00012","12 Rue Gabriel Péri 94320 Thiais","housenumber",0.97,2.396366,48.760041,"BANG",13,1
"15406341","94073",1,"94073_1","94073_7148_00012","12 Rue Paul Vaillant Couturier 94320 Thiais","housenumber",0.97,2.394449,48.759888,"BANG",13,1
"15406342","94073",1,"94073_1","94073_8152_00012","12 Rue Robert Laporte 94320 Thiais","housenumber",0.96,2.389997,48.76447,"BANG",13,1
"15406343","94073",1,"94073_1","94073_0020_00013","13 Rue Adrien Tessier 94320 Thiais","housenumber",0.96,2.392151,48.763779,"BANG",13,1
"15406344","94073",1,"94073_1","94073_3160_00013","13 Rue de l’Esperance 94320 Thiais","housenumber",0.96,2.39657,48.762411,"BANG",13,4
"15406345","94073",1,"94073_1","94073_4140_00013","13 Rue Georges Risler 94320 Thiais","housenumber",0.96,2.396834,48.761014,"BANG",13,1
"15406346","94073",1,"94073_1","94073_9725_00013","13 Villa Wagner 94320 Thiais","housenumber",0.96,2.394789,48.760541,"BANG",13,1
"15406347","94073",1,"94073_1","94073_0020_00014","14 Rue Adrien Tessier 94320 Thiais","housenumber",0.96,2.39231,48.763794,"BANG",13,1
"15406348","94073",1,"94073_1","94073_4105_00014","14 Rue Gabriel Péri 94320 Thiais","housenumber",0.97,2.396336,48.760115,"BANG",13,1
"15406349","94073",1,"94073_1","94073_7148_00014","14 Rue Paul Vaillant Couturier 94320 Thiais","housenumber",0.97,2.394373,48.760036,"BANG",13,1
"15406350","94073",1,"94073_1","94073_0020_00015","15 Rue Adrien Tessier 94320 Thiais","housenumber",0.96,2.39205,48.763842,"BANG",13,1
"15406351","94073",1,"94073_1","94073_4105_00015","15 Rue Gabriel Péri 94320 Thiais","housenumber",0.97,2.396236,48.760137,"BANG",13,1
"15406352","94073",1,"94073_1","94073_7148_00015","15 Rue Paul Vaillant Couturier 94320 Thiais","housenumber",0.97,2.394283,48.759968,"BANG",13,1
"15406353","94073",1,"94073_1","94073_8129_00015","15 Rue Regnault Leroy 94320 Thiais","housenumber",0.96,2.392792,48.762588,"BANG",13,1
"15406354","94073",1,"94073_1","94073_9725_00015","15 Villa Wagner 94320 Thiais","housenumber",0.96,2.39461,48.760515,"BANG",13,1
