"","id_brut_reu","id_brut_insee","code_commune","code","libelle_reu","num_voie_reu","voie_reu","cp_reu","commune_reu","nb_adresses_initial","nb_adresses_final","id_brut_miom"
"38760","59350_1","59350_1","59350","1","hotel de ville grand hall","72","AVENUE DE LA REPUBLIQUE","59160","lomme",741,705,"59350_0001"
"38761","59350_10","59350_10","59350","10","ecole la fontaine","0","RUE LAMARTINE","59160","lomme",554,553,"59350_0010"
"38762","59350_101","59350_101","59350","101","mairie de quartier de lille centre","31","RUE DES FOSSES","59000","lille",460,451,"59350_0101"
"38763","59350_102","59350_102","59350","102","ecole sophie germain","95","BOULEVARD DE LA LIBERTE","59000","lille",684,681,"59350_0102"
"38764","59350_104","59350_104","59350","104","ecole gutenberg","16","RUE DE LA BAIGNERIE","59000","lille",547,540,"59350_0104"
"38765","59350_105","59350_105","59350","105","ecole gutenberg","16","RUE DE LA BAIGNERIE","59000","lille",541,536,"59350_0105"
"38766","59350_106","59350_106","59350","106","club des retraites","8","RUE DE TOUL","59000","lille",720,719,"59350_0106"
"38767","59350_107","59350_107","59350","107","club des retraites","8","RUE DE TOUL","59000","lille",761,755,"59350_0107"
"38768","59350_108","59350_108","59350","108","club des retraites","8","RUE DE TOUL","59000","lille",378,378,"59350_0108"
"38769","59350_109","59350_109","59350","109","ecole lavoisier","72","RUE DES STATIONS","59000","lille",731,717,"59350_0109"
"38770","59350_11","59350_11","59350","11","ecole pasteur","0","AVENUE DE LA DELIVRANCE","59160","lomme",580,577,"59350_0011"
"38771","59350_110","59350_110","59350","110","ecole gounod","72","RUE DES STATIONS","59000","lille",662,650,"59350_0110"
"38772","59350_111","59350_111","59350","111","salle philippe noiret wazemmes","136","RUE DE L'ABBE AERTS","59000","lille",1018,1012,"59350_0111"
"38773","59350_113","59350_113","59350","113","salle philippe noiret wazemmes","136","RUE DE L'ABBE AERTS","59000","lille",1091,1081,"59350_0113"
"38774","59350_12","59350_12","59350","12","ecole leon blum entree b","0","RUE MARX DORMOY","59160","lomme",578,573,"59350_0012"
"38775","59350_13","59350_13","59350","13","ecole defrenne","0","RUE ADOLPHE DEFRENNE","59160","lomme",623,543,"59350_0013"
"38776","59350_14","59350_14","59350","14","ecole michelet","0","RUE DU XXEME SIECLE","59160","lomme",614,608,"59350_0014"
