"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"1798",1798,22400,"ANDEL","BA120",236000,23.6,"22",1
"1799",1799,22400,"ANDEL","BA2",118250,11.825,"22",2
"1800",1800,22400,"ANDEL","BA3",236000,23.6,"22",1
"1801",1801,22400,"ANDEL","BA35",145000,14.5,"22",2
"1802",1802,22400,"ANDEL","BA4",236000,23.6,"22",4
"1803",1803,22400,"ANDEL","BA5",236000,23.6,"22",1
"1804",1804,22400,"ANDEL","BA71",120300,12.03,"22",2
"1805",1805,22400,"ANDEL","BA76",120300,12.03,"22",1
"1806",1806,22400,"ANDEL","ZC49",7536,0.7536,"22",1
"1807",1807,22400,"ANDEL","ZC50",7536,0.7536,"22",1
"1808",1808,22400,"ANDEL","ZE136",75,0.0075,"22",1
"1809",1809,22400,"ANDEL","ZE93",1500,0.15,"22",1
"1810",1810,22400,"ANDEL","ZK312",170000,17,"22",2
"1811",1811,22400,"ANDEL","ZK391",177624,17.7624,"22",1
"1812",1812,22400,"ANDEL","ZK392",177624,17.7624,"22",1
"1813",1813,22400,"ANDEL","ZK393",177624,17.7624,"22",1
"1814",1814,22400,"ANDEL","ZK409",177624,17.7624,"22",1
"1815",1815,22400,"ANDEL","ZK410",177624,17.7624,"22",1
"1816",1816,22400,"ANDEL","ZK452",177624,17.7624,"22",1
"1817",1817,22400,"ANDEL","ZK453",177624,17.7624,"22",1
"1818",1818,22400,"ANDEL","ZK454",177624,17.7624,"22",1
"1819",1819,22400,"ANDEL","ZK455",177624,17.7624,"22",1
"1820",1820,22400,"ANDEL","ZK456",177624,17.7624,"22",1
"1821",1821,22400,"ANDEL","ZL54",9500,0.95,"22",2
"1822",1822,22400,"COETMIEUX","ZA198",125300,12.53,"22",3
"1823",1823,22400,"COETMIEUX","ZB26",6540,0.654,"22",1
"1824",1824,22400,"COETMIEUX","ZD228",335000,33.5,"22",2
"1825",1825,22400,"COETMIEUX","ZD385",335000,33.5,"22",1
"1826",1826,22400,"COETMIEUX","ZD50",1680,0.168,"22",1
"1827",1827,22400,"COETMIEUX","ZH129",193000,19.3,"22",1
"1828",1828,22400,"COETMIEUX","ZH132",193000,19.3,"22",1
"1829",1829,22400,"COETMIEUX","ZI256",125000,12.5,"22",6
"1830",1830,22400,"HENANSAL","A1185",249000,24.9,"22",1
"1831",1831,22400,"HENANSAL","B613",1,1e-04,"22",1
"1832",1832,22400,"HENANSAL","B614",200,0.02,"22",1
"1833",1833,22400,"HENANSAL","B637",95000,9.5,"22",1
"1834",1834,22400,"HENANSAL","C25",60000,6,"22",1
"1835",1835,22400,"HENANSAL","C27",60000,6,"22",1
"1836",1836,22400,"HENANSAL","C828",234000,23.4,"22",2
"1837",1837,22400,"HENANSAL","C831",2e+05,20,"22",2
"1838",1838,22400,"HENANSAL","YE50",1650,0.165,"22",1
"1839",1839,22400,"HENANSAL","YI3",24897.6,2.48976,"22",3
"1840",1840,22400,"HENANSAL","YI6",24897.6,2.48976,"22",1
"1841",1841,22400,"HENANSAL","ZA58",210000,21,"22",2
"1842",1842,22400,"HENANSAL","ZB104",4000,0.4,"22",1
"1843",1843,22400,"HENANSAL","ZE5",80000,8,"22",1
"1844",1844,22400,"HENANSAL","ZI67",140000,14,"22",4
"1845",1845,22400,"HENANSAL","ZI87",140000,14,"22",1
"1846",1846,22400,"HENANSAL","ZI9",348000,34.8,"22",2
"1847",1847,22400,"HENANSAL","ZI90",8500,0.85,"22",1
"1848",1848,22400,"HENANSAL","ZO94",2601,0.2601,"22",1
"1849",1849,22400,"HENANSAL","ZT114",329150,32.915,"22",1
"1850",1850,22400,"HENANSAL","ZW11",215000,21.5,"22",4
"1851",1851,22400,"LAMBALLE-ARMOR","A1057",3e+05,30,"22",1
"1852",1852,22400,"LAMBALLE-ARMOR","A1361",330000,33,"22",2
"1853",1853,22400,"LAMBALLE-ARMOR","A1542",3e+05,30,"22",1
"1854",1854,22400,"LAMBALLE-ARMOR","A1543",3e+05,30,"22",1
"1855",1855,22400,"LAMBALLE-ARMOR","A1548",320800,32.08,"22",1
"1856",1856,22400,"LAMBALLE-ARMOR","A1654",46900,4.69,"22",1
"1857",1857,22400,"LAMBALLE-ARMOR","A1658",281717.67,28.171767,"22",2
"1858",1858,22400,"LAMBALLE-ARMOR","A1676",42900,4.29,"22",1
"1859",1859,22400,"LAMBALLE-ARMOR","A1687",47900,4.79,"22",1
"1860",1860,22400,"LAMBALLE-ARMOR","A1690",185290.73,18.529073,"22",1
"1861",1861,22400,"LAMBALLE-ARMOR","A1691",185290.73,18.529073,"22",1
"1862",1862,22400,"LAMBALLE-ARMOR","A1692",185290.73,18.529073,"22",1
"1863",1863,22400,"LAMBALLE-ARMOR","A1693",185290.73,18.529073,"22",1
"1864",1864,22400,"LAMBALLE-ARMOR","A1694",185290.73,18.529073,"22",1
"1865",1865,22400,"LAMBALLE-ARMOR","A1695",185290.73,18.529073,"22",1
"1866",1866,22400,"LAMBALLE-ARMOR","A1696",185290.73,18.529073,"22",1
"1867",1867,22400,"LAMBALLE-ARMOR","A1697",185290.73,18.529073,"22",1
"1868",1868,22400,"LAMBALLE-ARMOR","A1698",185290.73,18.529073,"22",1
"1869",1869,22400,"LAMBALLE-ARMOR","A1699",185290.73,18.529073,"22",1
