"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"15201866","93046",1,"93046_1","93046_1184_00001","1 Allée Georges Brassens 93190 Livry-Gargan","housenumber",0.8,2.547186,48.916979,"BANG",26,1
"15201867","93046",1,"93046_1","93046_1183_00001","1 Allee Geo Andre 93190 Livry-Gargan","housenumber",0.96,2.54232,48.92148,"BANG",26,2
"15201868","93046",1,"93046_1","93046_2434_00001","1 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.54851,48.917408,"BANG",26,1
"15201869","93046",1,"93046_1","93046_1685_00001","1 Avenue du Maréchal Leclerc 93190 Livry-Gargan","housenumber",0.87,2.542754,48.921896,"BANG",26,1
"15201870","93046",1,"93046_1","93046_a055_00001","1 Residence Jean Lebas 93190 Livry-Gargan","housenumber",0.97,2.545235,48.92036,"BANG",26,1
"15201871","93046",1,"93046_1","93046_2071_00001","1 Rue du Pressoir 93190 Livry-Gargan","housenumber",0.96,2.54614,48.921742,"BANG",26,2
"15201872","93046",1,"93046_1","93046_2240_00001","1 Rue Saint-claude 93190 Livry-Gargan","housenumber",0.97,2.543415,48.921881,"BANG",26,1
"15201873","93046",1,"93046_1","93046_1303_00001","1 Square Jacques Brel 93190 Livry-Gargan","housenumber",0.78,2.548268,48.917212,"BANG",26,1
"15201874","93046",1,"93046_1","93046_1184_00010","10 Allée Georges Brassens 93190 Livry-Gargan","housenumber",0.8,2.54746,48.916762,"BANG",26,1
"15201875","93046",1,"93046_1","93046_1445_00010","10 Allee Jules Ladoumegue 93190 Livry-Gargan","housenumber",0.96,2.542222,48.920916,"BANG",26,2
"15201876","93046",1,"93046_1","93046_2434_00010","10 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.548133,48.917588,"BANG",26,1
"15201877","93046",1,"93046_1","93046_1540_00010","10 Place de la Libération 93190 Livry-Gargan","housenumber",0.97,2.543704,48.922377,"BANG",26,1
"15201878","93046",1,"93046_1","93046_0830_00010","10 Rue de l'Eglise 93190 Livry-Gargan","housenumber",0.97,2.54521,48.922262,"BANG",26,1
"15201879","93046",1,"93046_1","93046_2450_00010","10 Rue Traversière 93190 Livry-Gargan","housenumber",0.97,2.544366,48.92207,"BANG",26,1
"15201880","93046",1,"93046_1","93046_2434_00011","11 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.548244,48.917454,"BANG",26,1
"15201881","93046",1,"93046_1","93046_0670_00011","11 Rue de la Croix Richard 93190 Livry-Gargan","housenumber",0.84,2.546136,48.920615,"BANG",26,5
"15201882","93046",1,"93046_1","93046_1184_00012","12 Allée Georges Brassens 93190 Livry-Gargan","housenumber",0.8,2.547458,48.916593,"BANG",26,1
"15201883","93046",1,"93046_1","93046_1445_00012","12 Allee Jules Ladoumegue 93190 Livry-Gargan","housenumber",0.96,2.542426,48.921021,"BANG",26,2
"15201884","93046",1,"93046_1","93046_2434_00012","12 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.548078,48.917619,"BANG",26,1
"15201885","93046",1,"93046_1","93046_0830_00012","12 Rue de l'Eglise 93190 Livry-Gargan","housenumber",0.97,2.54555,48.922147,"BANG",26,2
"15201886","93046",1,"93046_1","93046_2450_00012","12 Rue Traversière 93190 Livry-Gargan","housenumber",0.97,2.544303,48.922021,"BANG",26,1
"15201887","93046",1,"93046_1","93046_2434_00013","13 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.548153,48.917502,"BANG",26,1
"15201888","93046",1,"93046_1","93046_0670_00013","13 Rue de la Croix Richard 93190 Livry-Gargan","housenumber",0.84,2.546539,48.920794,"BANG",26,1
"15201889","93046",1,"93046_1","93046_2240","Rue Saint-claude 93190 Livry-Gargan","street",0.97,2.544753,48.921188,"BANN",26,3
"15201890","93046",1,"93046_1","93046_2450_00013","13 Rue Traversière 93190 Livry-Gargan","housenumber",0.97,2.54429,48.921949,"BANG",26,1
"15201891","93046",1,"93046_1","93046_1184_00014","14 Allée Georges Brassens 93190 Livry-Gargan","housenumber",0.8,2.547526,48.916644,"BANG",26,1
"15201892","93046",1,"93046_1","93046_1445_00014","14 Allee Jules Ladoumegue 93190 Livry-Gargan","housenumber",0.96,2.542534,48.921156,"BANG",26,3
"15201893","93046",1,"93046_1","93046_2434_00014","14 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.548009,48.917653,"BANG",26,2
"15201894","93046",1,"93046_1","93046_1540_00014","14 Place de la Libération 93190 Livry-Gargan","housenumber",0.97,2.543918,48.92245,"BANG",26,2
"15201895","93046",1,"93046_1","93046_0830_00014","14 Rue de l'Eglise 93190 Livry-Gargan","housenumber",0.97,2.545713,48.922048,"BANG",26,1
"15201896","93046",1,"93046_1","93046_2434_00015","15 Allée Tino Rossi 93190 Livry-Gargan","housenumber",0.97,2.547856,48.917541,"BANG",26,2
"15201897","93046",1,"93046_1","93046_0760_00015","15 Rue du Docteur Herpin 93190 Livry-Gargan","housenumber",0.96,2.545893,48.919645,"BANG",26,1
