"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"1720",1720,17132,"MESCHERS-SUR-GIRONDE","AB12",190000,19,"17",4
"1721",1721,17132,"MESCHERS-SUR-GIRONDE","AB474",150000,15,"17",1
"1722",1722,17132,"MESCHERS-SUR-GIRONDE","AC1029",225400,22.54,"17",1
"1723",1723,17132,"MESCHERS-SUR-GIRONDE","AC1241",2500,0.25,"17",1
"1724",1724,17132,"MESCHERS-SUR-GIRONDE","AC1292",17000,1.7,"17",1
"1725",1725,17132,"MESCHERS-SUR-GIRONDE","AC1354",275000,27.5,"17",1
"1726",1726,17132,"MESCHERS-SUR-GIRONDE","AC1496",382900,38.29,"17",1
"1727",1727,17132,"MESCHERS-SUR-GIRONDE","AC1544",60000,6,"17",1
"1728",1728,17132,"MESCHERS-SUR-GIRONDE","AC1645",242150,24.215,"17",4
"1729",1729,17132,"MESCHERS-SUR-GIRONDE","AC1711",15000,1.5,"17",1
"1730",1730,17132,"MESCHERS-SUR-GIRONDE","AC1804",250000,25,"17",1
"1731",1731,17132,"MESCHERS-SUR-GIRONDE","AC250",193000,19.3,"17",1
"1732",1732,17132,"MESCHERS-SUR-GIRONDE","AC59",275000,27.5,"17",1
"1733",1733,17132,"MESCHERS-SUR-GIRONDE","AC687",411500,41.15,"17",1
"1734",1734,17132,"MESCHERS-SUR-GIRONDE","AC942",275000,27.5,"17",1
"1735",1735,17132,"MESCHERS-SUR-GIRONDE","AC954",250000,25,"17",1
"1736",1736,17132,"MESCHERS-SUR-GIRONDE","AC965",275000,27.5,"17",1
"1737",1737,17132,"MESCHERS-SUR-GIRONDE","AD1089",77600,7.76,"17",1
"1738",1738,17132,"MESCHERS-SUR-GIRONDE","AD1094",88000,8.8,"17",1
"1739",1739,17132,"MESCHERS-SUR-GIRONDE","AD146",265000,26.5,"17",1
"1740",1740,17132,"MESCHERS-SUR-GIRONDE","AD194",255000,25.5,"17",1
"1741",1741,17132,"MESCHERS-SUR-GIRONDE","AD334",285000,28.5,"17",2
"1742",1742,17132,"MESCHERS-SUR-GIRONDE","AD702",245711,24.5711,"17",1
"1743",1743,17132,"MESCHERS-SUR-GIRONDE","AD779",360000,36,"17",4
"1744",1744,17132,"MESCHERS-SUR-GIRONDE","AD830",420000,42,"17",2
"1745",1745,17132,"MESCHERS-SUR-GIRONDE","AD892",324800,32.48,"17",2
"1746",1746,17132,"MESCHERS-SUR-GIRONDE","AD984",358600,35.86,"17",1
"1747",1747,17132,"MESCHERS-SUR-GIRONDE","AD985",358600,35.86,"17",1
"1748",1748,17132,"MESCHERS-SUR-GIRONDE","AE1210",100,0.01,"17",1
"1749",1749,17132,"MESCHERS-SUR-GIRONDE","AE1212",100,0.01,"17",1
"1750",1750,17132,"MESCHERS-SUR-GIRONDE","AE1213",100,0.01,"17",1
"1751",1751,17132,"MESCHERS-SUR-GIRONDE","AE258",176000,17.6,"17",1
"1752",1752,17132,"MESCHERS-SUR-GIRONDE","AE71",322411,32.2411,"17",2
"1753",1753,17132,"MESCHERS-SUR-GIRONDE","AE796",110000,11,"17",1
"1754",1754,17132,"MESCHERS-SUR-GIRONDE","AE870",492452,49.2452,"17",1
"1755",1755,17132,"MESCHERS-SUR-GIRONDE","AE872",492452,49.2452,"17",1
"1756",1756,17132,"MESCHERS-SUR-GIRONDE","AE950",1,1e-04,"17",1
"1757",1757,17132,"MESCHERS-SUR-GIRONDE","AH1082",865000,86.5,"17",2
"1758",1758,17132,"MESCHERS-SUR-GIRONDE","AH1106",260000,26,"17",2
"1759",1759,17132,"MESCHERS-SUR-GIRONDE","AH1108",260000,26,"17",1
"1760",1760,17132,"MESCHERS-SUR-GIRONDE","AH1129",155000,15.5,"17",1
"1761",1761,17132,"MESCHERS-SUR-GIRONDE","AH1130",155000,15.5,"17",1
"1762",1762,17132,"MESCHERS-SUR-GIRONDE","AH144",170000,17,"17",1
"1763",1763,17132,"MESCHERS-SUR-GIRONDE","AH177",415000,41.5,"17",3
"1764",1764,17132,"MESCHERS-SUR-GIRONDE","AH321",170000,17,"17",1
"1765",1765,17132,"MESCHERS-SUR-GIRONDE","AH323",170000,17,"17",1
"1766",1766,17132,"MESCHERS-SUR-GIRONDE","AI172",305990,30.599,"17",1
"1767",1767,17132,"MESCHERS-SUR-GIRONDE","AI205",114000,11.4,"17",2
"1768",1768,17132,"MESCHERS-SUR-GIRONDE","AI280",166050,16.605,"17",1
"1769",1769,17132,"MESCHERS-SUR-GIRONDE","AI308",145000,14.5,"17",1
"1770",1770,17132,"MESCHERS-SUR-GIRONDE","AI356",296000,29.6,"17",1
"1771",1771,17132,"MESCHERS-SUR-GIRONDE","AI634",110000,11,"17",1
"1772",1772,17132,"MESCHERS-SUR-GIRONDE","AK189",210800,21.08,"17",1
"1773",1773,17132,"MESCHERS-SUR-GIRONDE","AK356",307000,30.7,"17",5
