"id_brut_reu","id_brut_insee","code_commune","code","libelle_reu","num_voie_reu","voie_reu","cp_reu","commune_reu","nb_adresses_initial","nb_adresses_final","id_brut_miom"
"93078_13","93078_13",93078,13,"ecole primaire pasteur",5,"RUE FRANCOIS MAURIAC",93420,"villepinte",149,"148.0","93078_0013"
"93078_14","93078_14",93078,14,"ecole charles peguy",0,"AVENUE BORIS VIAN",93420,"villepinte",217,"217.0","93078_0014"
"93078_15","93078_15",93078,15,"ecole victor hugo ii primaire",0,"BLD DU PRESIDENT KENNEDY",93420,"villepinte",356,"356.0","93078_0015"
"93078_16","93078_16",93078,16,"ecole saint exupery primaire",0,"RUE MARIUS PETIPA",93420,"villepinte",403,"403.0","93078_0016"
"93078_17","93078_17",93078,17,"ecole marie laurencin primaire",0,"RUE C. NICOLAS LEDOUX",93420,"villepinte",273,"273.0","93078_0017"
"93078_18","93078_18",93078,18,"ecole marie laurencin primaire",0,"RUE C. NICOLAS LEDOUX",93420,"villepinte",319,"319.0","93078_0018"
"93078_19","93078_19",93078,19,"salle polyval haie bertrand",0,"AVENUE SACCO ET VANZETTI",93420,"villepinte",462,"460.0","93078_0019"
"93078_2","93078_2",93078,2,"espaces v roger lefort"," "," ",0,,258,"257.0","93078_0002"
"93078_20","93078_20",93078,20,"mairie",0,"PLACE DE LA MAIRIE",93420,"villepinte",494,"493.0","93078_0020"
"93078_21","93078_21",93078,21,"salle polyvalente haie bertrand",0,"AVENUE SACCO ET VANZETTI",93420,"villepinte",484,"484.0","93078_0021"
"93078_22","93078_22",93078,22,"ecole de la pepiniere",0,"BOULEVARD DE LA PÉPINIÈRE",93420,"villepinte",238,"235.0","93078_0022"
"93078_23","93078_23",93078,23,"ecole de la pepiniere",0,"BOULEVARD DE LA PÉPINIÈRE",93420,"villepinte",235,"234.0","93078_0023"
"93078_24","93078_24",93078,24,"ecole maternelle pasteur",5,"RUE FRANCOIS MAURIAC",93420,"villepinte",169,"169.0","93078_0024"
"93078_25","93078_25",93078,25,"alsh marie laurencin",34,"RUE C. NICOLAS LEDOUX",93420,"villepinte",337,"337.0","93078_0025"
"93078_3","93078_3",93078,3,"centre administratif salle des tilleuls","16 32","AVENUE PAUL VAILLANT COUTURIER",93420,"villepinte",445,"445.0","93078_0003"
"93078_4","93078_4",93078,4,"centre adm salle des tilleuls","16 32","AVENUE PAUL VAILLANT COUTURIER",0,,454,"452.0","93078_0004"
"93078_5","93078_5",93078,5,"ecole primaire vert galant 1",0,"IMPASSE CHEV. DE LA BARRE",93420,"villepinte",526,"524.0","93078_0005"
"93078_6","93078_6",93078,6,"ecole primaire vert galant 1",0,"IMPASSE CHEV. DE LA BARRE",93420,"villepinte",394,"393.0","93078_0006"
"93078_7","93078_7",93078,7,"centre de loisirs les loups",0,"CHEMIN DU LOUP",93420,"villepinte",544,"542.0","93078_0007"
"93078_8","93078_8",93078,8,"centre de loisirs les loups",0,"CHEMIN DU LOUP",93420,"villepinte",387,"386.0","93078_0008"
"93078_9","93078_9",93078,9,"ecole primaire ch de gaulle",4,"AVENUE DU GENERAL DE GAULLE",93420,"villepinte",258,"258.0","93078_0009"
