"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"12415",12415,85000,"MOUILLERON-LE-CAPTIF","A1515",278000,27.8,"85",2
"12416",12416,85000,"MOUILLERON-LE-CAPTIF","A1518",2500,0.25,"85",1
"12417",12417,85000,"MOUILLERON-LE-CAPTIF","AE247",244000,24.4,"85",1
"12418",12418,85000,"MOUILLERON-LE-CAPTIF","AE287",190000,19,"85",1
"12419",12419,85000,"MOUILLERON-LE-CAPTIF","AE294",2e+05,20,"85",1
"12420",12420,85000,"MOUILLERON-LE-CAPTIF","AE295",2e+05,20,"85",1
"12421",12421,85000,"MOUILLERON-LE-CAPTIF","AE33",305000,30.5,"85",2
"12422",12422,85000,"MOUILLERON-LE-CAPTIF","AE394",110000,11,"85",1
"12423",12423,85000,"MOUILLERON-LE-CAPTIF","AE562",56000,5.6,"85",1
"12424",12424,85000,"MOUILLERON-LE-CAPTIF","AE613",126000,12.6,"85",1
"12425",12425,85000,"MOUILLERON-LE-CAPTIF","AI57",305000,30.5,"85",1
"12426",12426,85000,"MOUILLERON-LE-CAPTIF","AK242",95550,9.555,"85",1
"12427",12427,85000,"MOUILLERON-LE-CAPTIF","AK90",238000,23.8,"85",1
"12428",12428,85000,"MOUILLERON-LE-CAPTIF","AL59",275000,27.5,"85",1
"12429",12429,85000,"MOUILLERON-LE-CAPTIF","AL82",455000,45.5,"85",2
"12430",12430,85000,"MOUILLERON-LE-CAPTIF","AM123",181700,18.17,"85",2
"12431",12431,85000,"MOUILLERON-LE-CAPTIF","AM291",50000,5,"85",1
"12432",12432,85000,"MOUILLERON-LE-CAPTIF","AM40",240000,24,"85",1
"12433",12433,85000,"MOUILLERON-LE-CAPTIF","AN237",246000,24.6,"85",1
"12434",12434,85000,"MOUILLERON-LE-CAPTIF","AN324",236300,23.63,"85",1
"12435",12435,85000,"MOUILLERON-LE-CAPTIF","AO113",1012431.6,101.24316,"85",1
"12436",12436,85000,"MOUILLERON-LE-CAPTIF","AO123",216100,21.61,"85",1
"12437",12437,85000,"MOUILLERON-LE-CAPTIF","AO159",1500,0.15,"85",1
"12438",12438,85000,"MOUILLERON-LE-CAPTIF","AO161",1500,0.15,"85",1
"12439",12439,85000,"MOUILLERON-LE-CAPTIF","AO166",158000,15.8,"85",1
"12440",12440,85000,"MOUILLERON-LE-CAPTIF","AP30",158000,15.8,"85",1
"12441",12441,85000,"MOUILLERON-LE-CAPTIF","AP56",255000,25.5,"85",1
"12442",12442,85000,"MOUILLERON-LE-CAPTIF","AS166",82028,8.2028,"85",1
"12443",12443,85000,"MOUILLERON-LE-CAPTIF","AS200",280000,28,"85",3
"12444",12444,85000,"MOUILLERON-LE-CAPTIF","AS252",730000,73,"85",6
"12445",12445,85000,"MOUILLERON-LE-CAPTIF","B3126",426000,42.6,"85",3
"12446",12446,85000,"MOUILLERON-LE-CAPTIF","B3235",410000,41,"85",1
"12447",12447,85000,"MOUILLERON-LE-CAPTIF","B3238",390000,39,"85",2
"12448",12448,85000,"MOUILLERON-LE-CAPTIF","B3372",295000,29.5,"85",1
"12449",12449,85000,"MOUILLERON-LE-CAPTIF","B3751",99000,9.9,"85",1
"12450",12450,85000,"MOUILLERON-LE-CAPTIF","B3792",1e+05,10,"85",1
"12451",12451,85000,"MOUILLERON-LE-CAPTIF","B3802",99000,9.9,"85",1
"12452",12452,85000,"MOUILLERON-LE-CAPTIF","B3833",426.99,0.042699,"85",1
"12453",12453,85000,"MOUILLERON-LE-CAPTIF","B3834",426.99,0.042699,"85",1
"12454",12454,85000,"MOUILLERON-LE-CAPTIF","B3841",3705,0.3705,"85",1
"12455",12455,85000,"MOUILLERON-LE-CAPTIF","B3843",3705,0.3705,"85",1
"12456",12456,85000,"MOUILLERON-LE-CAPTIF","B3845",3705,0.3705,"85",1
"12457",12457,85000,"MOUILLERON-LE-CAPTIF","C1096",150,0.015,"85",1
"12458",12458,85000,"MOUILLERON-LE-CAPTIF","ZB173",390000,39,"85",1
"12459",12459,85000,"MOUILLERON-LE-CAPTIF","ZB195",450000,45,"85",1
"12460",12460,85000,"MOUILLERON-LE-CAPTIF","ZB202",390000,39,"85",3
"12461",12461,85000,"ROCHE SUR YON (LA)","AB320",8e+05,80,"85",2
"12462",12462,85000,"ROCHE SUR YON (LA)","AC415",235000,23.5,"85",1
"12463",12463,85000,"ROCHE SUR YON (LA)","AC496",117454.545454545,11.7454545454545,"85",11
"12464",12464,85000,"ROCHE SUR YON (LA)","AC503",158000,15.8,"85",1
"12465",12465,85000,"ROCHE SUR YON (LA)","AC612",288000,28.8,"85",1
"12466",12466,85000,"ROCHE SUR YON (LA)","AC617",288000,28.8,"85",1
"12467",12467,85000,"ROCHE SUR YON (LA)","AC625",89264.4,8.92644,"85",5
"12468",12468,85000,"ROCHE SUR YON (LA)","AC626",111900,11.19,"85",9
"12469",12469,85000,"ROCHE SUR YON (LA)","AC660",145240,14.524,"85",5
"12470",12470,85000,"ROCHE SUR YON (LA)","AC684",62490.1864705882,6.24901864705882,"85",17
"12471",12471,85000,"ROCHE SUR YON (LA)","AC851",808765.636363636,80.8765636363636,"85",11
"12472",12472,85000,"ROCHE SUR YON (LA)","AD121",129000,12.9,"85",1
"12473",12473,85000,"ROCHE SUR YON (LA)","AD129",235100,23.51,"85",1
"12474",12474,85000,"ROCHE SUR YON (LA)","AD201",180000,18,"85",1
"12475",12475,85000,"ROCHE SUR YON (LA)","AD249",160000,16,"85",1
"12476",12476,85000,"ROCHE SUR YON (LA)","AD91",105000,10.5,"85",1
"12477",12477,85000,"ROCHE SUR YON (LA)","AE25",135000,13.5,"85",2
"12478",12478,85000,"ROCHE SUR YON (LA)","AE284",2e+05,20,"85",1
"12479",12479,85000,"ROCHE SUR YON (LA)","AE469",150000,15,"85",2
"12480",12480,85000,"ROCHE SUR YON (LA)","AE478",75000,7.5,"85",4
"12481",12481,85000,"ROCHE SUR YON (LA)","AE523",129700,12.97,"85",3
"12482",12482,85000,"ROCHE SUR YON (LA)","AE554",148000,14.8,"85",1
"12483",12483,85000,"ROCHE SUR YON (LA)","AH498",125000,12.5,"85",2
"12484",12484,85000,"ROCHE SUR YON (LA)","AH507",130000,13,"85",2
"12485",12485,85000,"ROCHE SUR YON (LA)","AH513",60000,6,"85",1
"12486",12486,85000,"ROCHE SUR YON (LA)","AI343",178984.833333333,17.8984833333333,"85",12
"12487",12487,85000,"ROCHE SUR YON (LA)","AI359",170000,17,"85",2
"12488",12488,85000,"ROCHE SUR YON (LA)","AI38",197280,19.728,"85",2
"12489",12489,85000,"ROCHE SUR YON (LA)","AK135",13000,1.3,"85",1
"12490",12490,85000,"ROCHE SUR YON (LA)","AK191",115000,11.5,"85",2
"12491",12491,85000,"ROCHE SUR YON (LA)","AK211",198000,19.8,"85",3
"12492",12492,85000,"ROCHE SUR YON (LA)","AK254",197000,19.7,"85",1
"12493",12493,85000,"ROCHE SUR YON (LA)","AK379",111500,11.15,"85",4
"12494",12494,85000,"ROCHE SUR YON (LA)","AK453",130000,13,"85",1
"12495",12495,85000,"ROCHE SUR YON (LA)","AK89",147000,14.7,"85",1
"12496",12496,85000,"ROCHE SUR YON (LA)","AL1013",274750,27.475,"85",4
"12497",12497,85000,"ROCHE SUR YON (LA)","AL1031",24316.6666666667,2.43166666666667,"85",6
"12498",12498,85000,"ROCHE SUR YON (LA)","AL1033",267000,26.7,"85",1
"12499",12499,85000,"ROCHE SUR YON (LA)","AL1034",60000,6,"85",1
"12500",12500,85000,"ROCHE SUR YON (LA)","AL1037",149500,14.95,"85",3
"12501",12501,85000,"ROCHE SUR YON (LA)","AL1116",14825,1.4825,"85",2
"12502",12502,85000,"ROCHE SUR YON (LA)","AL1190",210000,21,"85",2
"12503",12503,85000,"ROCHE SUR YON (LA)","AL1218",124900,12.49,"85",2
"12504",12504,85000,"ROCHE SUR YON (LA)","AL168",78000,7.8,"85",2
"12505",12505,85000,"ROCHE SUR YON (LA)","AL171",115000,11.5,"85",3
"12506",12506,85000,"ROCHE SUR YON (LA)","AL188",88940,8.894,"85",2
"12507",12507,85000,"ROCHE SUR YON (LA)","AL204",348000,34.8,"85",1
"12508",12508,85000,"ROCHE SUR YON (LA)","AL263",95000,9.5,"85",5
"12509",12509,85000,"ROCHE SUR YON (LA)","AL287",16124.2857142857,1.61242857142857,"85",7
"12510",12510,85000,"ROCHE SUR YON (LA)","AL288",150000,15,"85",3
"12511",12511,85000,"ROCHE SUR YON (LA)","AL289",160000,16,"85",6
"12512",12512,85000,"ROCHE SUR YON (LA)","AL290",97967,9.7967,"85",2
"12513",12513,85000,"ROCHE SUR YON (LA)","AL341",296356.666666667,29.6356666666667,"85",15
"12514",12514,85000,"ROCHE SUR YON (LA)","AL378",165214.285714286,16.5214285714286,"85",7
"12515",12515,85000,"ROCHE SUR YON (LA)","AL424",7200,0.72,"85",1
"12516",12516,85000,"ROCHE SUR YON (LA)","AL473",222000,22.2,"85",1
"12517",12517,85000,"ROCHE SUR YON (LA)","AL518",18000,1.8,"85",1
"12518",12518,85000,"ROCHE SUR YON (LA)","AL550",212000,21.2,"85",1
"12519",12519,85000,"ROCHE SUR YON (LA)","AL583",180000,18,"85",1
"12520",12520,85000,"ROCHE SUR YON (LA)","AL606",140500,14.05,"85",3
"12521",12521,85000,"ROCHE SUR YON (LA)","AL680",122500,12.25,"85",3
"12522",12522,85000,"ROCHE SUR YON (LA)","AL776",140000,14,"85",3
"12523",12523,85000,"ROCHE SUR YON (LA)","AL910",149500,14.95,"85",1
"12524",12524,85000,"ROCHE SUR YON (LA)","AL992",411150,41.115,"85",1
