"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"12703182","77284",1,"77284_1","77284_0610","Place de l'Hôtel de Ville 77100 Meaux","street",0.64,2.877375,48.958359,"BANG",24,6
"12703183","77284",1,"77284_1","77284_0440_00001","1 Avenue Galliéni 77100 Meaux","housenumber",0.78,2.873423,48.959233,"BANG",24,2
"12703184","77284",1,"77284_1","77284_0610_00001","1 Place de l'Hôtel de Ville 77100 Meaux","housenumber",0.65,2.877089,48.957952,"BANG",24,7
"12703185","77284",1,"77284_1","BANO_772840815A_1","1 Avenue de la Marne 77100 Meaux","housenumber",0.6,2.886768,48.95115,"BANOG",24,1
"12703186","77284",1,"77284_1","77284_0060_00001","1 Rue Antoine Carro 77100 Meaux","housenumber",0.73,2.879339,48.958511,"BANG",24,7
"12703187","77284",1,"77284_1","77284_0320_00001","1 Rue Darnetal 77100 Meaux","housenumber",0.97,2.879819,48.958594,"BANG",24,4
"12703188","77284",1,"77284_1","77284_0557_00001","1 Rue de la Halle 77100 Meaux","housenumber",0.96,2.879148,48.957037,"BANG",24,1
"12703189","77284",1,"77284_1","77284_0345_00001","1 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.878162,48.959852,"BANG",24,1
"12703190","77284",1,"77284_1","77284_1290_00001","1 Rue des Teinturiers 77100 Meaux","housenumber",0.97,2.87945,48.957179,"BANG",24,3
"12703191","77284",1,"77284_1","77284_0240_00001","1 Rue du Commandant Berge 77100 Meaux","housenumber",0.71,2.879738,48.957292,"BANG",24,1
"12703192","77284",1,"77284_1","77284_1280_00001","1 Rue du Tan 77100 Meaux","housenumber",0.97,2.882077,48.959083,"BANG",24,2
"12703193","77284",1,"77284_1","77284_1190_00001","1 Rue Saint Christophe 77100 Meaux","housenumber",0.83,2.880202,48.959493,"BANG",24,2
"12703194","77284",1,"77284_1","77284_0610_00001_bis","1bis Place de l'Hôtel de Ville 77100 Meaux","housenumber",0.63,2.877109,48.958014,"BANG",24,2
"12703195","77284",1,"77284_1","77284_0640_00001_bis","1bis Place Jean Bureau 77100 Meaux","housenumber",0.74,2.878392,48.956671,"BANG",24,1
"12703196","77284",1,"77284_1","77284_0240_00001_bis","1bis Rue du Commandant Berge 77100 Meaux","housenumber",0.73,2.879717,48.957289,"BANG",24,3
"12703197","77284",1,"77284_1","77284_1410_00010","10 Cours de Verdun 77100 Meaux","housenumber",0.96,2.87622,48.958742,"BANG",24,2
"12703198","77284",1,"77284_1","77284_0560_00010","10 impasse hattingais 77100 Meaux","housenumber",0.8,2.878538,48.95951,"BANG",24,1
"12703199","77284",1,"77284_1","77284_0270_00010","10 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879329,48.959416,"BANG",24,2
"12703200","77284",1,"77284_1","77284_0345_00010","10 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.878007,48.959674,"BANG",24,3
"12703201","77284",1,"77284_1","77284_0730_00010","10 Rue Louis Geoffroy 77100 Meaux","housenumber",0.8,2.878608,48.958758,"BANG",24,1
"12703202","77284",1,"77284_1","77284_0880_00010","10 Rue Neuve 77100 Meaux","housenumber",0.97,2.877737,48.9559,"BANG",24,15
"12703203","77284",1,"77284_1","77284_1190_00010","10 Rue Saint Christophe 77100 Meaux","housenumber",0.84,2.879933,48.959265,"BANG",24,2
"12703204","77284",1,"77284_1","77284_0440_00011","11 Avenue Galliéni 77100 Meaux","housenumber",0.79,2.872687,48.958913,"BANG",24,2
"12703205","77284",1,"77284_1","77284_1110_00011","11 Cours Raoult 77100 Meaux","housenumber",0.97,2.882764,48.958165,"BANG",24,5
"12703206","77284",1,"77284_1","77284_0270_00011","11 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879354,48.959372,"BANG",24,1
"12703207","77284",1,"77284_1","77284_0345_00011","11 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877978,48.959247,"BANG",24,7
"12703208","77284",1,"77284_1","77284_1440_00011","11 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877193,48.95943,"BANG",24,1
"12703209","77284",1,"77284_1","77284_0580_00012","12 Place Henri IV 77100 Meaux","housenumber",0.81,2.883749,48.958868,"BANG",24,1
"12703210","77284",1,"77284_1","77284_0640_00012","12 Place Jean Bureau 77100 Meaux","housenumber",0.83,2.878024,48.956783,"BANG",24,10
"12703211","77284",1,"77284_1","77284_0270_00012","12 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879303,48.959373,"BANG",24,2
"12703212","77284",1,"77284_1","77284_0345_00012","12 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877646,48.959689,"BANG",24,10
"12703213","77284",1,"77284_1","77284_0730_00012","12 Rue Louis Geoffroy 77100 Meaux","housenumber",0.8,2.878447,48.958742,"BANG",24,2
"12703214","77284",1,"77284_1","77284_1110_00013","13 Cours Raoult 77100 Meaux","housenumber",0.97,2.882287,48.958144,"BANG",24,1
"12703215","77284",1,"77284_1","77284_0270_00013","13 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879337,48.959336,"BANG",24,2
"12703216","77284",1,"77284_1","77284_0345_00013","13 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877934,48.959084,"BANG",24,5
"12703217","77284",1,"77284_1","77284_1440_00013","13 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877187,48.959393,"BANG",24,4
"12703218","77284",1,"77284_1","77284_0240_00013","13 Rue du Commandant Berge 77100 Meaux","housenumber",0.72,2.879641,48.956925,"BANG",24,2
"12703219","77284",1,"77284_1","77284_1190_00013","13 Rue Saint Christophe 77100 Meaux","housenumber",0.84,2.879815,48.958989,"BANG",24,1
"12703220","77284",1,"77284_1","77284_1230_00013","13 Rue Saint Remy 77100 Meaux","housenumber",0.82,2.877634,48.959983,"BANG",24,2
"12703221","77284",1,"77284_1","77284_0580_00014","14 Place Henri IV 77100 Meaux","housenumber",0.81,2.883853,48.95885,"BANG",24,2
"12703222","77284",1,"77284_1","77284_1430_00014","14 Quai Victor Hugo 77100 Meaux","housenumber",0.76,2.878716,48.958174,"BANG",24,1
"12703223","77284",1,"77284_1","77284_0270_00014","14 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879273,48.95931,"BANG",24,2
"12703224","77284",1,"77284_1","77284_0345_00014","14 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877906,48.959448,"BANG",24,19
"12703225","77284",1,"77284_1","77284_0880_00014","14 Rue Neuve 77100 Meaux","housenumber",0.97,2.877598,48.955894,"BANG",24,1
"12703226","77284",1,"77284_1","77284_1190_00014","14 Rue Saint Christophe 77100 Meaux","housenumber",0.84,2.879841,48.95911,"BANG",24,2
"12703227","77284",1,"77284_1","77284_0440_00015","15 Avenue Galliéni 77100 Meaux","housenumber",0.79,2.87258,48.958597,"BANG",24,14
"12703228","77284",1,"77284_1","77284_0319_00015","15 Place Darnetal 77100 Meaux","housenumber",0.96,2.879178,48.958773,"BANG",24,2
"12703229","77284",1,"77284_1","77284_0320_00015","15 Rue Darnetal 77100 Meaux","housenumber",0.97,2.879172,48.958776,"BANG",24,2
"12703230","77284",1,"77284_1","77284_0270_00015","15 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879321,48.959299,"BANG",24,1
"12703231","77284",1,"77284_1","77284_1440_00015","15 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877209,48.95917,"BANG",24,1
"12703232","77284",1,"77284_1","77284_0240_00015","15 Rue du Commandant Berge 77100 Meaux","housenumber",0.72,2.879661,48.956866,"BANG",24,1
"12703233","77284",1,"77284_1","77284_0530_00015","15 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.880312,48.959008,"BANG",24,2
"12703234","77284",1,"77284_1","77284_1190_00015","15 Rue Saint Christophe 77100 Meaux","housenumber",0.84,2.879794,48.958939,"BANG",24,1
"12703235","77284",1,"77284_1","77284_0250_00016","16 Rue du Connetable de Richemont 77100 Meaux","housenumber",0.79,2.877387,48.955523,"BANG",24,1
"12703236","77284",1,"77284_1","77284_0270_00016","16 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879237,48.959241,"BANG",24,2
"12703237","77284",1,"77284_1","77284_0345_00016","16 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877868,48.959363,"BANG",24,2
"12703238","77284",1,"77284_1","77284_1440_00016","16 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877077,48.959035,"BANG",24,4
"12703239","77284",1,"77284_1","77284_1190_00016","16 Rue Saint Christophe 77100 Meaux","housenumber",0.84,2.879777,48.959032,"BANG",24,3
"12703240","77284",1,"77284_1","77284_1110_00017","17 Cours Raoult 77100 Meaux","housenumber",0.97,2.882042,48.9578,"BANG",24,2
"12703241","77284",1,"77284_1","77284_0634_00017","17 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.882384,48.955925,"BANG",24,4
"12703242","77284",1,"77284_1","77284_0270_00017","17 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.87931,48.959234,"BANG",24,1
"12703243","77284",1,"77284_1","77284_1440_00017","17 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877175,48.959202,"BANG",24,2
"12703244","77284",1,"77284_1","77284_1280_00017","17 Rue du Tan 77100 Meaux","housenumber",0.97,2.881736,48.9587,"BANG",24,2
"12703245","77284",1,"77284_1","77284_1200_00017","17 Rue Saint Etienne 77100 Meaux","housenumber",0.83,2.878693,48.959829,"BANG",24,1
"12703246","77284",1,"77284_1","77284_1230_00017","17 Rue Saint Remy 77100 Meaux","housenumber",0.82,2.877498,48.960001,"BANG",24,2
"12703247","77284",1,"77284_1","77284_1249_00018","18 Place Sauve Delanoue 77100 Meaux","housenumber",0.83,2.880768,48.958163,"BANG",24,2
"12703248","77284",1,"77284_1","77284_0270_00018","18 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879203,48.959142,"BANG",24,3
"12703249","77284",1,"77284_1","77284_0345_00018","18 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.87785,48.959295,"BANG",24,1
"12703250","77284",1,"77284_1","77284_0530_00018","18 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.880228,48.95907,"BANG",24,3
"12703251","77284",1,"77284_1","77284_0440_00019","19 Avenue Galliéni 77100 Meaux","housenumber",0.79,2.87255,48.958417,"BANG",24,3
"12703252","77284",1,"77284_1","77284_0634_00019","19 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.882387,48.955766,"BANG",24,1
"12703253","77284",1,"77284_1","77284_0270_00019","19 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879267,48.959179,"BANG",24,1
"12703254","77284",1,"77284_1","77284_1440_00019","19 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.87718,48.95908,"BANG",24,3
"12703255","77284",1,"77284_1","77284_0880_00019","19 Rue Neuve 77100 Meaux","housenumber",0.97,2.877265,48.955816,"BANG",24,5
"12703256","77284",1,"77284_1","77284_1200_00019","19 Rue Saint Etienne 77100 Meaux","housenumber",0.83,2.878617,48.959841,"BANG",24,2
"12703257","77284",1,"77284_1","77284_0560_00002","2 impasse hattingais 77100 Meaux","housenumber",0.79,2.879108,48.959284,"BANG",24,3
"12703258","77284",1,"77284_1","77284_f808kp_00002","2 Petite Rue Saint Christophe 77100 Meaux","housenumber",0.85,2.879674,48.958947,"BANG",24,2
"12703259","77284",1,"77284_1","77284_0610_00002","2 Place de l'Hôtel de Ville 77100 Meaux","housenumber",0.65,2.877652,48.958735,"BANG",24,2
"12703260","77284",1,"77284_1","77284_0580_00002","2 Place Henri IV 77100 Meaux","housenumber",0.81,2.883057,48.958973,"BANG",24,2
"12703261","77284",1,"77284_1","77284_0060_00002","2 Rue Antoine Carro 77100 Meaux","housenumber",0.73,2.879362,48.958591,"BANG",24,2
"12703262","77284",1,"77284_1","77284_0270_00002","2 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879288,48.959663,"BANG",24,2
"12703263","77284",1,"77284_1","77284_0345_00002","2 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.878069,48.959836,"BANG",24,4
"12703264","77284",1,"77284_1","77284_1355_00002","2 Rue des Trinitaires 77100 Meaux","housenumber",0.96,2.873633,48.954034,"BANG",24,23
"12703265","77284",1,"77284_1","77284_1440_00002","2 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877108,48.959851,"BANG",24,3
"12703266","77284",1,"77284_1","77284_0530_00002","2 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.880551,48.959441,"BANG",24,2
"12703267","77284",1,"77284_1","77284_0730_00002","2 Rue Louis Geoffroy 77100 Meaux","housenumber",0.79,2.87897,48.958797,"BANG",24,3
"12703268","77284",1,"77284_1","77284_1190_00002","2 Rue Saint Christophe 77100 Meaux","housenumber",0.83,2.880129,48.959487,"BANG",24,2
"12703269","77284",1,"77284_1","77284_0345_00024","24 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877811,48.95905,"BANG",24,4
"12703270","77284",1,"77284_1","77284_0270_00002_bis","2bis Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879301,48.959663,"BANG",24,1
"12703271","77284",1,"77284_1","77284_1410_00020","20 Cours de Verdun 77100 Meaux","housenumber",0.96,2.875055,48.958707,"BANG",24,4
"12703272","77284",1,"77284_1","77284_1110_00020","20 Cours Raoult 77100 Meaux","housenumber",0.97,2.882223,48.958505,"BANG",24,1
"12703273","77284",1,"77284_1","77284_0640_00020","20 Place Jean Bureau 77100 Meaux","housenumber",0.83,2.878728,48.957002,"BANG",24,16
"12703274","77284",1,"77284_1","77284_0345_00020","20 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877837,48.959227,"BANG",24,1
"12703275","77284",1,"77284_1","77284_1290_00020","20 Rue des Teinturiers 77100 Meaux","housenumber",0.97,2.878728,48.957002,"BANG",24,15
"12703276","77284",1,"77284_1","77284_1440_00020","20 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877118,48.958953,"BANG",24,2
"12703277","77284",1,"77284_1","77284_0240_00020","20 Rue du Commandant Berge 77100 Meaux","housenumber",0.72,2.879469,48.956949,"BANG",24,1
"12703278","77284",1,"77284_1","77284_1280_00020","20 Rue du Tan 77100 Meaux","housenumber",0.97,2.881643,48.958679,"BANG",24,1
"12703279","77284",1,"77284_1","77284_0634_00021","21 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.882388,48.955617,"BANG",24,2
"12703280","77284",1,"77284_1","77284_0270_00021","21 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879249,48.959141,"BANG",24,2
"12703281","77284",1,"77284_1","77284_1440_00021","21 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877196,48.959011,"BANG",24,8
"12703282","77284",1,"77284_1","77284_0880_00021","21 Rue Neuve 77100 Meaux","housenumber",0.97,2.877135,48.955802,"BANG",24,11
"12703283","77284",1,"77284_1","77284_1200_00021","21 Rue Saint Etienne 77100 Meaux","housenumber",0.83,2.878567,48.959849,"BANG",24,1
"12703284","77284",1,"77284_1","77284_1110_00022","22 Cours Raoult 77100 Meaux","housenumber",0.97,2.882192,48.958459,"BANG",24,1
"12703285","77284",1,"77284_1","77284_0270_00022","22 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879143,48.959021,"BANG",24,4
"12703286","77284",1,"77284_1","77284_0345_00022","22 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877823,48.959151,"BANG",24,1
"12703287","77284",1,"77284_1","77284_0240_00022","22 Rue du Commandant Berge 77100 Meaux","housenumber",0.72,2.87945,48.956897,"BANG",24,2
"12703288","77284",1,"77284_1","77284_1280_00022","22 Rue du Tan 77100 Meaux","housenumber",0.97,2.881603,48.958631,"BANG",24,1
"12703289","77284",1,"77284_1","77284_0634_00023","23 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.88239,48.95551,"BANG",24,2
"12703290","77284",1,"77284_1","77284_1280_00023","23 Rue du Tan 77100 Meaux","housenumber",0.97,2.881663,48.958602,"BANG",24,1
"12703291","77284",1,"77284_1","77284_0880_00023","23 Rue Neuve 77100 Meaux","housenumber",0.97,2.876941,48.955777,"BANG",24,3
"12703292","77284",1,"77284_1","77284_1200_00023","23 Rue Saint Etienne 77100 Meaux","housenumber",0.97,2.878355,48.959686,"BANG",24,5
"12703293","77284",1,"77284_1","77284_1190_00023","23 Rue Saint Christophe 77100 Meaux","housenumber",0.84,2.879632,48.958793,"BANG",24,1
"12703294","77284",1,"77284_1","77284_0634_00023_bis","23bis Quai Jacques Prevert 77100 Meaux","housenumber",0.68,2.88299,48.955484,"BANG",24,7
"12703295","77284",1,"77284_1","77284_1110_00024","24 Cours Raoult 77100 Meaux","housenumber",0.97,2.882127,48.958386,"BANG",24,1
"12703296","77284",1,"77284_1","77284_1430_00024","24 Quai Victor Hugo 77100 Meaux","housenumber",0.76,2.876647,48.957888,"BANG",24,7
"12703297","77284",1,"77284_1","77284_0270_00024","24 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879128,48.95899,"BANG",24,1
"12703298","77284",1,"77284_1","77284_1440_00024","24 Rue des Vieux Moulins 77100 Meaux","housenumber",0.97,2.877043,48.958764,"BANG",24,3
"12703299","77284",1,"77284_1","77284_0530_00024","24 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.880196,48.958956,"BANG",24,5
"12703300","77284",1,"77284_1","77284_1280_00024","24 Rue du Tan 77100 Meaux","housenumber",0.97,2.881569,48.958593,"BANG",24,1
"12703301","77284",1,"77284_1","77284_0634_00025","25 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.8824,48.955406,"BANG",24,2
"12703302","77284",1,"77284_1","77284_0470_00025","25 Rue du General Leclerc 77100 Meaux","housenumber",0.83,2.881226,48.959404,"BANG",24,2
"12703303","77284",1,"77284_1","77284_0530_00025","25 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.880068,48.958669,"BANG",24,3
"12703304","77284",1,"77284_1","77284_1280_00025","25 Rue du Tan 77100 Meaux","housenumber",0.97,2.881595,48.958544,"BANG",24,2
"12703305","77284",1,"77284_1","77284_1200_00025","25 Rue Saint Etienne 77100 Meaux","housenumber",0.83,2.878383,48.959874,"BANG",24,1
"12703306","77284",1,"77284_1","77284_0640_00026","26 Place Jean Bureau 77100 Meaux","housenumber",0.83,2.877623,48.956636,"BANG",24,10
"12703307","77284",1,"77284_1","77284_0250","Rue du Connetable de Richemont 77100 Meaux","street",0.75,2.877522,48.955472,"BANN",24,4
"12703308","77284",1,"77284_1","77284_0270_00026","26 Rue de la Cordonnerie 77100 Meaux","housenumber",0.97,2.879108,48.958945,"BANG",24,4
"12703309","77284",1,"77284_1","77284_0345_00026","26 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877802,48.958948,"BANG",24,1
"12703310","77284",1,"77284_1","77284_0634_00027","27 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.882414,48.955308,"BANG",24,2
"12703311","77284",1,"77284_1","77284_0530_00027","27 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.88004,48.95864,"BANG",24,2
"12703312","77284",1,"77284_1","77284_1280_00027","27 Rue du Tan 77100 Meaux","housenumber",0.97,2.881545,48.958487,"BANG",24,1
"12703313","77284",1,"77284_1","77284_1110_00028","28 Cours Raoult 77100 Meaux","housenumber",0.97,2.882022,48.958242,"BANG",24,1
"12703314","77284",1,"77284_1","77284_0345_00028","28 Rue de Martimprey 77100 Meaux","housenumber",0.97,2.877794,48.958834,"BANG",24,3
"12703315","77284",1,"77284_1","77284_0240_00028","28 Rue du Commandant Berge 77100 Meaux","housenumber",0.72,2.879423,48.95618,"BANG",24,1
"12703316","77284",1,"77284_1","77284_1280_00028","28 Rue du Tan 77100 Meaux","housenumber",0.97,2.881481,48.9585,"BANG",24,4
"12703317","77284",1,"77284_1","77284_0440_00029","29 Avenue Galliéni 77100 Meaux","housenumber",0.79,2.872614,48.95751,"BANG",24,3
"12703318","77284",1,"77284_1","77284_0634_00029","29 Quai Jacques Prevert 77100 Meaux","housenumber",0.76,2.882429,48.955214,"BANG",24,1
"12703319","77284",1,"77284_1","77284_0530_00029","29 Rue du Grand Cerf 77100 Meaux","housenumber",0.97,2.880027,48.958584,"BANG",24,1
"12703320","77284",1,"77284_1","77284_1280_00029","29 Rue du Tan 77100 Meaux","housenumber",0.97,2.881497,48.958425,"BANG",24,1
"12703321","77284",1,"77284_1","77284_1230_00029","29 Rue Saint Remy 77100 Meaux","housenumber",0.82,2.876879,48.959922,"BANG",24,2
