"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"13278",13278,92000,"NANTERRE","AB216",225560,22.556,"92",3
"13279",13279,92000,"NANTERRE","AB258",868000,86.8,"92",1
"13280",13280,92000,"NANTERRE","AB57",549620,54.962,"92",5
"13281",13281,92000,"NANTERRE","AC11",344000,34.4,"92",3
"13282",13282,92000,"NANTERRE","AC17",642000,64.2,"92",1
"13283",13283,92000,"NANTERRE","AF411",336000,33.6,"92",6
"13284",13284,92000,"NANTERRE","AF488",560550,56.055,"92",1
"13285",13285,92000,"NANTERRE","AF666",891600,89.16,"92",2
"13286",13286,92000,"NANTERRE","AF671",405000,40.5,"92",2
"13287",13287,92000,"NANTERRE","AG257",310159.571428571,31.0159571428571,"92",14
"13288",13288,92000,"NANTERRE","AG299",297142.857142857,29.7142857142857,"92",14
"13289",13289,92000,"NANTERRE","AH644",70800,7.08,"92",1
"13290",13290,92000,"NANTERRE","AH645",70800,7.08,"92",1
"13291",13291,92000,"NANTERRE","AH647",70800,7.08,"92",1
"13292",13292,92000,"NANTERRE","AI88",69000,6.9,"92",1
"13293",13293,92000,"NANTERRE","AJ496",1449000,144.9,"92",1
"13294",13294,92000,"NANTERRE","AN211",233337.5,23.33375,"92",20
"13295",13295,92000,"NANTERRE","AN281",1025000,102.5,"92",1
"13296",13296,92000,"NANTERRE","AN384",236750,23.675,"92",16
"13297",13297,92000,"NANTERRE","AQ31",278000,27.8,"92",2
"13298",13298,92000,"NANTERRE","AQ42",630000,63,"92",1
"13299",13299,92000,"NANTERRE","AR269",19250,1.925,"92",2
"13300",13300,92000,"NANTERRE","AR401",15916452,1591.6452,"92",1
"13301",13301,92000,"NANTERRE","AR434",540000,54,"92",9
"13302",13302,92000,"NANTERRE","AR467",252500,25.25,"92",2
"13303",13303,92000,"NANTERRE","AU134",50000,5,"92",1
"13304",13304,92000,"NANTERRE","AU16",312250,31.225,"92",4
"13305",13305,92000,"NANTERRE","AU3",1500000,150,"92",9
"13306",13306,92000,"NANTERRE","AU68",728409.090909091,72.8409090909091,"92",44
"13307",13307,92000,"NANTERRE","BE52",240000,24,"92",2
"13308",13308,92000,"NANTERRE","BF51",85000,8.5,"92",1
"13309",13309,92000,"NANTERRE","BF57",126000,12.6,"92",1
"13310",13310,92000,"NANTERRE","BF70",336000,33.6,"92",2
"13311",13311,92000,"NANTERRE","BF8",411333.333333333,41.1333333333333,"92",3
"13312",13312,92000,"NANTERRE","BF82",18500,1.85,"92",1
"13313",13313,92000,"NANTERRE","BF87",347800,34.78,"92",10
"13314",13314,92000,"NANTERRE","BG1",252726.666666667,25.2726666666667,"92",3
"13315",13315,92000,"NANTERRE","BG111",861400,86.14,"92",4
"13316",13316,92000,"NANTERRE","BG52",272400,27.24,"92",2
"13317",13317,92000,"NANTERRE","BG59",630000,63,"92",1
"13318",13318,92000,"NANTERRE","BH109",17500,1.75,"92",1
"13319",13319,92000,"NANTERRE","BH118",143714.285714286,14.3714285714286,"92",7
"13320",13320,92000,"NANTERRE","BH13",1200000,120,"92",2
"13321",13321,92000,"NANTERRE","BH175",185000,18.5,"92",6
"13322",13322,92000,"NANTERRE","BH176",474250,47.425,"92",8
"13323",13323,92000,"NANTERRE","BI169",898300,89.83,"92",1
"13324",13324,92000,"NANTERRE","BI185",328057,32.8057,"92",1
"13325",13325,92000,"NANTERRE","BI205",626500,62.65,"92",1
"13326",13326,92000,"NANTERRE","BI206",626500,62.65,"92",1
"13327",13327,92000,"NANTERRE","BJ18",250000,25,"92",1
