"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"15240887","93055",1,"93055_1","93055_7185","Place du Président Salvador Allende 93500 Pantin","street",0.96,2.400479,48.897354,"BANN",23,3
"15240888","93055",1,"93055_1","93055_2530_00001","1 Rue du Débarcadère 93500 Pantin","housenumber",0.96,2.398945,48.897657,"BANG",23,2
"15240889","93055",1,"93055_1","93055_2510_00010","10 Rue Danton 93500 Pantin","housenumber",0.96,2.399122,48.896637,"BANG",23,10
"15240890","93055",1,"93055_1","93055_3120_00011","11 Avenue Édouard Vaillant 93500 Pantin","housenumber",0.97,2.399954,48.896957,"BANG",23,3
"15240891","93055",1,"93055_1","93055_6880_00017","17 Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.403755,48.896269,"BANG",23,18
"15240892","93055",1,"93055_1","93055_6880_00017_bis","17bis Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.403985,48.896005,"BANG",23,11
"15240893","93055",1,"93055_1","93055_6880_00019","19 Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.404355,48.896206,"BANG",23,15
"15240894","93055",1,"93055_1","93055_6880_00019_bis","19bis Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.404362,48.895955,"BANG",23,20
"15240895","93055",1,"93055_1","93055_3120_00002","2 Avenue Édouard Vaillant 93500 Pantin","housenumber",0.97,2.400152,48.897075,"BANG",23,2
"15240896","93055",1,"93055_1","93055_0650_00002","2 Mail de la Blanchisserie 93500 Pantin","housenumber",0.96,2.399277,48.89736,"BANG",23,1
"15240897","93055",1,"93055_1","93055_4240_00002","2 Rue du General Compans 93500 Pantin","housenumber",0.96,2.398115,48.897443,"BANG",23,7
"15240898","93055",1,"93055_1","93055_8510_00002","2 Rue Sadi Carnot 93500 Pantin","housenumber",0.96,2.401822,48.897076,"BANG",23,3
"15240899","93055",1,"93055_1","93055_6880_00021","21 Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.404968,48.896143,"BANG",23,16
"15240900","93055",1,"93055_1","93055_6880_00021_bis","21bis Quai de l’Ourcq 93500 Pantin","housenumber",0.86,2.405243,48.895883,"BANG",23,16
"15240901","93055",1,"93055_1","93055_6880_00023","23 Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.405543,48.896097,"BANG",23,10
"15240902","93055",1,"93055_1","93055_6880_00025","25 Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.406698,48.89666,"BANG",23,1
"15240903","93055",1,"93055_1","93055_6880_00029","29 Quai de l’Ourcq 93500 Pantin","housenumber",0.97,2.406967,48.895677,"BANG",23,13
"15240904","93055",1,"93055_1","93055_2540_00029","29 Rue Delizy 93500 Pantin","housenumber",0.97,2.408819,48.896482,"BANG",23,7
