"Code","LIB","mono","enf","Dipl","voit"
"01139","Curciat-Dongalon",12,8,4.5,96.1
"01140","Curtafond",8.6,6,3.8,93.7
"01141","Cuzieu",14.7,11.4,7,93.9
"01142","Dagneux",12.4,11.1,5.9,93.5
"01143","Divonne-les-Bains",11.9,9.2,4.3,93
"01145","Dompierre-sur-Veyle",5.8,11.4,5.4,93.3
"01146","Dompierre-sur-Chalaronne",3.7,11.1,5.2,98.8
"01147","Domsure",6.7,9.8,5.6,95.5
"01148","Dortan",11.4,6,6,92.3
"01149","Douvres",15.9,8.7,4.9,97.1
"01150","Drom",15.4,7.7,6.2,95.7
"01151","Druillat",12.5,8.3,4.6,95.6
"01152","Échallon",4.7,6.3,4.7,95.7
"01153","Échenevex",14.6,11,2.9,98.3
"01155","Évosges",0,11.1,2.7,97.2
"01156","Faramans",4,10,4,96.7
"01157","Fareins",8.3,11.4,6.1,94.7
"01158","Farges",20,10,4.1,95.9
"01159","Feillens",10,6.7,5.7,94.5
"01160","Ferney-Voltaire",23.8,9.1,3.6,81.7
"01162","Flaxieu",0,0,0,100
"01163","Foissiat",7.3,8.9,3.6,94.9
"01165","Francheleins",8.1,8.1,5.1,97.8
"01166","Frans",17.2,5.9,4.1,96.9
"01167","Garnerans",9.7,6.7,6,94.4
"01169","Genouilleux",7.5,7.3,6.5,98.3
"01170","Béard-Géovreissiat",13.3,11.1,4.3,96
"01171","Géovreisset",7.1,5,5.4,97.6
"01173","Gex",14.3,8.6,4.1,93.9
"01174","Giron",22.2,11.1,2.3,96.2
"01175","Gorrevod",12.2,8.2,3.9,95.3
"01177","Grand-Corent",30,20,2.2,97.6
"01179","Grièges",11.1,6,5.9,95.5
"01180","Grilly",15.1,3.8,3.9,97.1
"01181","Groissiat",6.8,8.1,5.2,96.6
"01183","Guéreins",2.2,10.7,6.4,97
"01184","Hautecourt-Romanèche",4.8,9.5,6.1,95.3
"01185","Plateau d'Hauteville",11.3,8.1,9.6,82.7
"01187","Haut Valromey",22.5,2.5,3.9,97.4
"01188","Illiat",9.5,11.9,4.6,99.2
