"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"15165326","93010",1,"93010_1","93010_8159_00001","1 Cours de la République 93140 Bondy","housenumber",0.97,2.480535,48.902679,"BANG",32,1
"15165327","93010",1,"93010_1","93010_1431_00001","1 Impasse Carnot 93140 Bondy","housenumber",0.97,2.480333,48.897831,"BANG",32,1
"15165328","93010",1,"93010_1","93010_0020_00001","1 Place Albert Thomas 93140 Bondy","housenumber",0.97,2.479136,48.898919,"BANG",32,3
"15165329","93010",1,"93010_1","93010_1431_00010","10 Impasse Carnot 93140 Bondy","housenumber",0.97,2.479698,48.897988,"BANG",32,1
"15165330","93010",1,"93010_1","93010_0020_00010","10 Place Albert Thomas 93140 Bondy","housenumber",0.97,2.479418,48.89859,"BANG",32,2
"15165331","93010",1,"93010_1","93010_5170_00010","10 Rue Louis Auguste Blanqui 93140 Bondy","housenumber",0.98,2.47974,48.900172,"BANG",32,1
"15165332","93010",1,"93010_1","93010_7125_00010","10 Villa Parmentier 93140 Bondy","housenumber",0.97,2.480036,48.899236,"BANG",32,1
"15165333","93010",1,"93010_1","93010_1430_00102","102 Avenue Carnot 93140 Bondy","housenumber",0.98,2.480377,48.89759,"BANG",32,1
"15165334","93010",1,"93010_1","93010_1430_00104","104 Avenue Carnot 93140 Bondy","housenumber",0.98,2.480314,48.897466,"BANG",32,1
"15165335","93010",1,"93010_1","93010_1430_00106","106 Avenue Carnot 93140 Bondy","housenumber",0.98,2.480261,48.897349,"BANG",32,2
"15165336","93010",1,"93010_1","93010_0020_00011","11 Place Albert Thomas 93140 Bondy","housenumber",0.97,2.479234,48.898885,"BANG",32,4
"15165337","93010",1,"93010_1","93010_5170_00011","11 Rue Louis Auguste Blanqui 93140 Bondy","housenumber",0.98,2.480133,48.900193,"BANG",32,1
"15165338","93010",1,"93010_1","93010_7125_00011","11 Villa Parmentier 93140 Bondy","housenumber",0.97,2.480137,48.899449,"BANG",32,2
"15165339","93010",1,"93010_1","93010_1430_00110","110 Avenue Carnot 93140 Bondy","housenumber",0.98,2.480169,48.89715,"BANG",32,1
"15165340","93010",1,"93010_1","93010_1430_00112","112 Avenue Carnot 93140 Bondy","housenumber",0.98,2.480121,48.897049,"BANG",32,1
"15165341","93010",1,"93010_1","93010_1430_00114","114 Avenue Carnot 93140 Bondy","housenumber",0.98,2.480066,48.896935,"BANG",32,1
