"IRIS","DISP_TP6019"
60880202,"18.5"
60880203,"20.8"
60880204,"20.6"
60880205,"18.6"
60880206,"19.6"
60880301,"23.7"
60880302,"28.6"
60880303,"18.3"
60880304,"20.9"
60880305,"18.1"
60880401,22180
60880402,"13.7"
60880403,"9.8"
60880404,21110
60880501,"21.4"
60880502,21
60880503,"17.4"
60880504,"17.4"
60880505,"15.3"
60880506,"22.6"
60880507,"19.4"
60880508,"40.9"
60880509,"45.2"
60880601,"25.7"
60880602,"23.3"
60880603,"24.8"
60880604,32
60880605,"35.8"
60880701,"40.8"
60880702,"45.1"
60880801,"23.7"
60880901,"50.1"
60880902,"39.9"
60880903,11070
60880904,"46.7"
60880905,"44.2"
60881001,19870
60881002,"11.2"
60881003,18680
60881004,"9.6"
60881005,"8.5"
60881101,"13.7"
60881102,"12.2"
60881103,"11.9"
60881104,"13.6"
60881105,"19.6"
60881201,"27.5"
60881202,11
60881203,"14.2"
60881204,14280
60881301,"21.4"
60881302,"18.3"
60881303,"14.9"
60881304,"11.3"
60881305,"16.4"
60881306,"12.5"
60881307,"9.4"
60881308,"14.2"
60881309,"18.7"
60881401,"16.4"
60881402,21
60881403,"16.2"
60881404,"19.3"
60881501,"28.7"
60881502,"19.1"
60881503,"14.7"
60881504,"15.4"
60881505,"19.8"
60881506,"17.9"
60881601,"12.4"
60881602,"20.9"
60881603,"12.7"
60881604,"9.4"
60881605,15
60881606,21560
60881701,"17.6"
60881702,"17.5"
60881703,"28.6"
60881704,"22.8"
60881705,"19.2"
60881802,"31.6"
60881803,"36.3"
60881804,"25.8"
60881805,"20.9"
60881901,29
60881902,"20.4"
60881903,20
60882001,"11.3"
60882002,16
60882101,"21.9"
60882102,"27.5"
60882103,"30.6"
60882104,"23.9"
60882201,"25.9"
60882202,"29.3"
60882203,"21.8"
60882301,"17.8"
60882302,"20.5"
60882303,"24.3"
60882304,23
60882401,"28.9"
60882402,23
60882501,"28.5"
60882502,"27.1"
60882503,"22.9"
60882504,"28.7"
60882601,33
60882602,"26.6"
60882603,20
60882701,"31.2"
60882702,"15.1"
60882703,"15.3"
60882704,"8.3"
60882705,13
60882801,"28.5"
60882802,"8.6"
60882803,"11.4"
60882804,"9.6"
60882805,"8.5"
60882901,"42.5"
60882902,"48.3"
60882903,10560
60882904,"24.2"
60882905,"12.3"
60882906,"9.1"
60883002,"31.1"
60883003,"32.9"
60883101,"9.4"
60883102,14
60883201,"10.3"
60883202,21510
60883301,"29.8"
60883401,"16.3"
60883402,"20.5"
60883403,"22.4"
60883501,"8.6"
60883601,"8.5"
60883602,19840
60883701,"8.4"
60883801,23390
61040101,"14.8"
61040102,"14.5"
61040103,"15.2"
61040104,11
61040105,"10.1"
61230102,"14.1"
61230103,"13.8"
61230104,"8.6"
61230105,"19.2"
61230106,"8.6"
61230107,"16.1"
61230108,"8.1"
61230109,"9.3"
61230110,"8.1"
61230111,21490
61490101,"10.8"
61490102,"11.8"
61490103,"13.2"
61490104,"13.8"
61520101,18140
61520102,"7.1"
61520103,"12.6"
61520104,22720
61550101,"7.9"
61550102,"38.8"
61550103,32
61550104,"22.6"
61550105,"16.4"
61550106,"14.4"
61550107,"13.3"
61550108,"17.4"
61550109,"17.5"
61550110,"15.4"
61570101,"28.7"
61570102,"22.1"
61570103,"9.1"
61570104,"9.1"
61570105,"11.3"
61570106,"16.4"
61570107,"10.4"
61610102,19740
61610103,19600
61610104,17540
61610105,"15.3"
61610106,"10.8"
61610107,"8.7"
70100101,"29.7"
70100102,"15.3"
70100103,"10.3"
70100201,"20.5"
70100202,"31.2"
70100203,"19.5"
70100204,"49.4"
70190101,"26.8"
70190102,"18.8"
70190103,"20.2"
70190104,"39.5"
70190105,"14.5"
71020101,"7.7"
71020102,18230
71020103,19110
71020104,18100
73240101,12800
73240102,"13.3"
73240103,18820
73240104,"17.1"
81050101,"17.9"
81050102,"41.8"
81050201,"17.1"
81050202,24
81050301,"17.9"
81050302,"14.9"
81050401,"22.1"
81050402,"18.2"
81050501,"20.6"
81050502,"32.9"
81050601,"25.3"
81050602,"50.1"
81050701,"24.7"
81050702,"37.2"
81050801,10560
81050802,"62.3"
81050803,"60.7"
81050901,"27.4"
81050902,"33.7"
81051001,"11.3"
81051002,18180
84090102,11910
84090201,"19.4"
84090202,"34.3"
84090301,"33.6"
84090302,"41.9"
84090303,"33.4"
84090401,"17.8"
84090402,"14.4"
84090501,"44.9"
92250101,"39.5"
92250102,"21.6"
92250104,"14.9"
92250105,"15.9"
92250106,11290
92250107,"11.7"
100810101,10920
100810102,15
100810103,"11.6"
100810201,61
100810203,52
100810205,"30.5"
103230101,"27.6"
103230102,"27.5"
103230103,30
103230104,45
103230201,"23.5"
103230202,"19.6"
103330101,19190
103330102,"13.8"
103330103,15800
103330201,"28.3"
103330202,"15.4"
103620101,14
103620102,"17.4"
103620103,"10.3"
103620104,"18.2"
103620105,"12.2"
103870101,"23.7"
103870201,18370
103870202,"20.2"
103870203,"17.4"
103870204,"22.6"
103870301,"31.2"
103870302,30
103870401,"26.1"
103870501,"26.5"
103870601,"27.9"
103870602,11280
103870603,"22.4"
103870701,10280
103870702,"13.9"
103870801,"36.8"
103870802,"12.7"
103870901,"14.2"
103870902,"35.4"
103871001,"59.5"
103871002,35
103871003,"56.1"
103871004,"16.8"
103871101,"22.9"
103871102,"23.5"
103871103,"21.7"
103871104,"41.5"
110690101,"26.8"
110690102,"43.6"
110690103,"33.8"
110690201,"22.9"
110690202,"26.4"
110690301,39
110690302,"31.9"
110690401,"37.6"
110690402,"28.2"
110690403,"30.1"
110690404,"17.6"
110690501,"11.9"
110690702,"23.8"
110690703,"12.5"
110690901,"21.1"
110690902,48
110690903,"18.3"
110690904,"23.4"
110760102,"16.2"
110760104,"26.3"
110760105,13830
110760106,"27.3"
110760107,16460
112030102,"18.1"
112030103,"30.2"
112030104,"26.3"
112030106,"25.8"
112060101,"36.6"
112060102,"20.2"
112060103,"14.5"
112060104,21
112620101,45
112620102,"42.5"
112620103,"17.6"
112620104,17740
112620201,"39.2"
112620202,"17.5"
112620203,"16.2"
112620206,"12.4"
112620301,"27.1"
112620302,"28.2"
112620303,10220
112620304,"16.2"
112620305,"14.7"
112620401,"22.1"
112620402,"14.9"
112620403,"11.3"
112620501,"33.6"
112620502,"28.1"
112620503,"61.8"
112620504,"27.2"
112620505,"25.8"
112620602,"12.7"
112620603,"15.9"
121450101,34
121450102,"27.1"
121450103,17
121450104,"22.3"
121450106,"20.1"
121450107,"9.5"
121450108,"6.8"
121450109,"8.4"
121450110,16980
121760101,"14.6"
121760102,"41.2"
121760103,18150
121760201,21
121760301,20350
122020101,"20.4"
122020201,"12.1"
122020202,"26.4"
122020301,"15.8"
122020302,17310
122020303,"12.6"
122020401,"13.1"
122020402,15790
122020403,"18.7"
122020501,"16.1"
122020502,18400
123000101,"46.1"
123000102,"16.5"
123000103,13110
123000104,"13.2"
123000105,14860
123000106,"9.3"
130010101,"16.3"
130010102,"26.9"
130010103,"19.4"
130010104,23
130010105,"25.6"
130010202,"16.4"
130010203,"11.9"
130010204,22110
130010205,"17.3"
130010206,"12.8"
130010301,"11.8"
130010302,18890
130010303,19480
130010304,"11.3"
130010305,"10.4"
130010306,"16.2"
130010307,"10.1"
130010401,"6.8"
130010402,10
130010403,"21.6"
130010404,23280
130010501,10990
130010502,"12.6"
130010503,21230
130010504,"16.2"
130010505,21050
130010506,20060
130010601,"31.2"
130010602,"40.7"
130010603,"26.4"
130010604,"26.5"
130010605,19430
130010606,"32.6"
130010701,19
130010702,"10.2"
130010703,"21.4"
130010704,"31.6"
130010705,"36.8"
130010706,"30.6"
130010707,"8.2"
130010709,"8.3"
130010710,23380
130010711,"9.9"
130010801,"7.4"
130010802,"7.2"
130010803,"5.4"
130010804,"7.1"
130010901,"13.7"
130010902,8
130010903,"7.4"
130010905,"10.2"
130010906,18720
130010907,"6.7"
130010908,"9.7"
130020101,"7.4"
130020102,"6.1"
130020103,17550
130020104,21400
130020105,"7.5"
130020106,"5.1"
130040101,"32.9"
130040102,"24.1"
130040103,"27.2"
130040104,"25.4"
130040105,"48.6"
130040106,58
130040107,"16.6"
130040109,"52.4"
130040110,"18.6"
130040111,"16.7"
130040112,"22.7"
130040113,10460
130040114,"17.3"
130040115,"21.4"
130040116,"24.1"
130040117,18540
130040118,"18.1"
130040119,"9.6"
130040120,"12.1"
130040121,17050
130040122,"17.6"
130040123,"15.5"
130040124,"13.2"
130050101,"21.1"
130050102,"21.4"
130050201,14
130050202,18
130050301,"17.2"
130050302,"12.3"
130050401,"9.9"
130050402,"19.2"
130050403,"14.6"
130050501,"19.3"
130050502,"24.8"
130050601,"6.9"
130050602,20060
130050603,11540
130050701,21200
130050702,21610
130050705,"10.4"
130070101,"16.3"
130070102,"6.8"
130070103,"7.9"
130070104,"6.7"
130140101,"21.9"
130140102,"19.6"
130140103,"25.6"
130140104,11
130140106,17030
130150101,20410
130150102,23010
130150103,"6.8"
130150104,21820
130150105,23100
130260101,"9.7"
130260102,"16.2"
130260103,17630
130260104,13
130260105,"10.8"
130270101,"16.6"
130270102,"14.9"
130270103,14710
130270104,13230
130270105,"25.9"
130270106,"13.3"
130280101,"29.8"
130280102,"15.3"
130280103,12
130280104,19180
130280105,"19.3"
