"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"2557",2557,30000,"NIMES","AH388",243000,24.3,"30",2
"2558",2558,30000,"NIMES","AH469",234600,23.46,"30",1
"2559",2559,30000,"NIMES","AI157",250000,25,"30",8
"2560",2560,30000,"NIMES","AI260",250000,25,"30",1
"2561",2561,30000,"NIMES","AI285",136600,13.66,"30",3
"2562",2562,30000,"NIMES","AK40",159000,15.9,"30",3
"2563",2563,30000,"NIMES","AL162",354300,35.43,"30",1
"2564",2564,30000,"NIMES","AL508",162000,16.2,"30",1
"2565",2565,30000,"NIMES","AL534",220000,22,"30",1
"2566",2566,30000,"NIMES","AL822",727000,72.7,"30",3
"2567",2567,30000,"NIMES","AL942",354300,35.43,"30",2
"2568",2568,30000,"NIMES","AM152",1500,0.15,"30",1
"2569",2569,30000,"NIMES","AN580",512470,51.247,"30",1
"2570",2570,30000,"NIMES","AN587",512470,51.247,"30",1
"2571",2571,30000,"NIMES","AN589",512470,51.247,"30",2
"2572",2572,30000,"NIMES","AO1026",737500,73.75,"30",1
"2573",2573,30000,"NIMES","AO1028",737500,73.75,"30",1
"2574",2574,30000,"NIMES","AO112",229000,22.9,"30",2
"2575",2575,30000,"NIMES","AO1152",737500,73.75,"30",4
"2576",2576,30000,"NIMES","AO1161",737500,73.75,"30",1
"2577",2577,30000,"NIMES","AO1163",737500,73.75,"30",1
"2578",2578,30000,"NIMES","AO1165",737500,73.75,"30",1
"2579",2579,30000,"NIMES","AO1166",737500,73.75,"30",1
"2580",2580,30000,"NIMES","AO1254",70000,7,"30",1
"2581",2581,30000,"NIMES","AO1258",1,1e-04,"30",1
"2582",2582,30000,"NIMES","AO1259",1,1e-04,"30",1
"2583",2583,30000,"NIMES","AO1261",1,1e-04,"30",1
"2584",2584,30000,"NIMES","AO347",384800,38.48,"30",4
"2585",2585,30000,"NIMES","AO666",334800,33.48,"30",6
"2586",2586,30000,"NIMES","AO668",334800,33.48,"30",1
"2587",2587,30000,"NIMES","AO987",737500,73.75,"30",1
"2588",2588,30000,"NIMES","AP1194",25000,2.5,"30",1
"2589",2589,30000,"NIMES","AP1283",80000,8,"30",1
"2590",2590,30000,"NIMES","AP228",462060,46.206,"30",4
"2591",2591,30000,"NIMES","AP437",1e+05,10,"30",1
"2592",2592,30000,"NIMES","AP438",1e+05,10,"30",2
"2593",2593,30000,"NIMES","AP586",365000,36.5,"30",1
"2594",2594,30000,"NIMES","AP589",365000,36.5,"30",1
"2595",2595,30000,"NIMES","AP79",365000,36.5,"30",1
"2596",2596,30000,"NIMES","AP829",639800,63.98,"30",2
"2597",2597,30000,"NIMES","AT48",50000,5,"30",1
"2598",2598,30000,"NIMES","AT51",1430000,143,"30",1
"2599",2599,30000,"NIMES","AV100",1430000,143,"30",1
"2600",2600,30000,"NIMES","AV121",1430000,143,"30",1
"2601",2601,30000,"NIMES","AV122",1430000,143,"30",1
"2602",2602,30000,"NIMES","AV99",1430000,143,"30",1
"2603",2603,30000,"NIMES","BS127",1430000,143,"30",2
"2604",2604,30000,"NIMES","BS128",1430000,143,"30",1
"2605",2605,30000,"NIMES","BS129",1430000,143,"30",1
"2606",2606,30000,"NIMES","BS202",1430000,143,"30",1
"2607",2607,30000,"NIMES","BT276",466400,46.64,"30",1
"2608",2608,30000,"NIMES","BT278",466400,46.64,"30",1
"2609",2609,30000,"NIMES","BW1086",45000,4.5,"30",1
"2610",2610,30000,"NIMES","BW907",45000,4.5,"30",1
"2611",2611,30000,"NIMES","CD1017",677000,67.7,"30",2
"2612",2612,30000,"NIMES","CD1018",677000,67.7,"30",1
"2613",2613,30000,"NIMES","CD1029",5040,0.504,"30",1
"2614",2614,30000,"NIMES","CD238",207260,20.726,"30",3
"2615",2615,30000,"NIMES","CD31",120000,12,"30",4
"2616",2616,30000,"NIMES","CD322",422000,42.2,"30",8
"2617",2617,30000,"NIMES","CD391",617450,61.745,"30",3
"2618",2618,30000,"NIMES","CD392",617450,61.745,"30",1
"2619",2619,30000,"NIMES","CD805",287400,28.74,"30",2
"2620",2620,30000,"NIMES","CE385",496500,49.65,"30",8
