Réponse no,titre donnée,description,généalogie,producteur,mots clés,licence,fréquence maj,type géométrique,précision,emrpise,projection epsg,date
1,"Paris, la ville européenne la plus mortelle en cas de canicule",carte,Tristan Gaudiaut Data Journalist,Tristan Gaudiaut Data Journalist - Statista,Paris PLUS mortelle,droit d&#039;auteur,0,carte projection européano-centré,/,/,/,/
2,Recensement de la population – Iris,Quartiers IRIS de La Rochelle (2008),,Ville de la rochelle,Population et citoyenneté,INSEE,,Polyson,,,2154,2012
3,élections-législatives-2017-2ème tour,élections-législatives-2017-2ème tour (json),,,,,,,,,,
4,IRIS,fonds numérisé pour les besoins des recensements sur l&#039;ensemble des communes,,Institut national de l&#039;information géographique et forestière (IGN-F),distribution démographique ; données ouvertes ; géographie,Open licence,Une fois par ans,Polygone,,,EPSG : 2154 (Lambert 93),01/01/2021
5,Lignes de bus - CA Saint-Quentin-en-Yvelines,,,,,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,Quotidienne,,,,EPSG 3949,2018
6,Résultats des élections législatives 2022 - 2nd tour - par bureau de vote,Ce jeu de données contient les résultats du 2nd tour des élections législatives 2022.,,Opendatasoft,"élection, élections, france, bureau de vote, bureaux de vote, 2022, législatives",Licence Ouverte v2.0,Irrégulière,Pas de type géométrique. C&#039;est un tableur.,,,,2022 (dernière màj le 21 juin 2022 18:45)
7,Espaces verts publics de la ville d&#039;Antony,"Cette couche recense l’ensemble des espaces verts publics (parcs, jardins, squares, bois..",Les données ont été créées à partir de la numérisation des plans d’aménagements urbains,Ville d&#039;Antony – Direction de l’Aménagement et des Espaces publics,"espaces verts, parcs, jardins, Antony, urbanisme, environnement, aménagement,",Open Data – Licence Ouverte Etalab v2.0,Annuellement,Polygone,Inférieure à 1 mètre,,EPSG:2154 – RGF93 / Lambert-93,Dernière mise à jour : 15 mars 2024 Date de création : janvier 2019
8,Observations de biodiversité (faune-flore) du Parc national des Écrins,Synthèse des observations de faune et de flore réalisées ou financées par le Parc national,Obs-Biodiv-PNE,Parc national des Écrins,biodiversite     biodiversite-et-nature     biodiversity     faune     faune-et-flore,Licence Ouverte / Open Licence version 2.0,Quotidienne,GeoPackage ou csv,Observation sur le terrain,"Hautes-Alpes, Isère",WGS 84,14 mai 2020 - 31 mars 2025
10,FINESS Extraction des équipements matériels lourds,Liste des équipements matériels lourds,,,"extraction, équipements, matériaux lourds",,,,,,,17 novembre 2021
11,"Revenus, pauvreté et niveau de vie - Données carroyées",L&#039;Insee fournit des informations socio-économiques sur près de 30 millions de ménages.,,Institut National de la Statistique et des Etudes Economiques (Insee),disparites-de-revenus/distribution-des-revenus/inegalites-de-revenus/menages-fiscaux...,Licence Ouverte / Open Licence version 2.0,Biennale,Carreaux / carroyage,"Diff échelles, plus petite est des carreaux de 200m de côté",30 millions de ménages,,"Création  le 27 septembre 2019, dernière MAJ le 4 avril 2025"
12,Arrês des cars jaunes à La Réunion,"Fournit la liste des arrêts des cars jaunes à la Réunion, avec leurs coordonnées",δεν καταλαβαίνω,Région Réunion,La Réunion,δεν καταλαβαίνω,δεν καταλαβαίνω,couche ponctuel,δεν καταλαβαίνω,Régionale,Lambert 93,2 janvier 2019
13,"résultat éléctoreaux ,","datagouv , incee","zone couverte: toute la ville , ou un quartier",électorale,vote ; élection; bv; 92; accecibilité ; opendata; incee ; répartition spatiale ; géographi,licence ouverte,varriable,point polygone ligne,,Département haut de seine,lamber 93,2022 a voir
14,"Données Filosofi au carreau de 200m (y compris données imputées), Martinique",,,INSEE,,Open data,,"polygone, carreaux",200m/carreau,,,
